"","lambda","P-value"
"17065_gldA_1","0.705789585639047","0.004"
"17066_fsaB","0.754783615511736","0.003"
"17082_oxyR_1","0.89240483553346","0.001"
"17085_yijD","0.999933893038648","0.009"
"17088_murI","0.793734086592506","0.002"
"17109_nudC","0.999933893038648","0.001"
"17110_hemE","0.999933893038648","0.003"
"17127_iclR","0.721946768817837","0.006"
"17141_hypothetical_protein","0.762422741992611","0.001"
"17158_lexA_1","0.884446327448572","0.003"
"17166_dnaB","0.930136784060907","0.004"
"17175_hypothetical_protein","0.761630685211747","0.003"
"17193_Sel1_repeat_protein","0.999924591511612","0.002"
"17197_mdtO","0.999933893038648","0.008"
"17205_phnN","0.999933893038648","0.007"
"17213_phnF","0.997146709749678","0.006"
"17238_Acetyltransferase_-GNAT-_family_protein","0.999933893038648","0.007"
"17278_tsaE","0.907966273960177","0.002"
"17280_mutL","0.951438141440505","0.002"
"17290_rlmB_2","0.999933893038648","0.005"
"17339_ytfP","0.974601202766246","0.009"
"17368_Acetyltransferase_-GNAT-_family_protein","0.726080343653245","0.002"
"17374_lptG_2","0.79477913240385","0.004"
"17464_fldC","0.906893605408384","0.003"
"17487_ttuB","0.854021643663313","0.001"
"17498_yjjM","0.848968647999372","0.001"
"17499_yjjN","0.999933893038648","0.001"
"17550_yjjX","0.980596600486407","0.002"
"17557_arcA","0.999933893038648","0.003"
"17568_hypothetical_protein","0.974842865496066","0.001"
"17573_nhaA","0.903938089644773","0.002"
"17583_lspA","0.355720049242535","0.005"
"17587_rihC","0.999933893038648","0.002"
"17596_caiB","0.999933893038648","0.004"
"17610_pdxA","0.999933893038648","0.005"
"17617_araD","0.995975694551595","0.003"
"17618_araA","0.984231461468577","0.009"
"17642_murF","0.542301736863061","0.005"
"17669_aceE","0.532594685784909","0.002"
"17670_aceF","0.439302487034772","0.009"
"17703_hrpB_1","0.619737909201213","0.003"
"17704_mrcB","0.881900850213185","0.001"
"17718_hypothetical_protein","0.684216075617802","0.009"
"17723_tsf","0.630728122339802","0.004"
"17730_rseP","0.753172794550243","0.002"
"17731_bamA","0.416456818378243","0.001"
"17757_dkgB","0.885782722886709","0.001"
"17763_hypothetical_protein","0.733704457308202","0.004"
"17792_flhA_2","0.797726181906217","0.002"
"17886_ytbE","0.995645828267736","0.001"
"17906_allS_3","0.967263636477037","0.001"
"17913_atzC","0.999933893038648","0.001"
"17919_yahK","0.884511459075465","0.003"
"17937_lacI","0.999933893038648","0.003"
"17956_tauD","0.990576067778378","0.009"
"17957_hemB","0.999933893038648","0.005"
"17969_adrA","0.999933893038648","0.003"
"17974_hypothetical_protein","0.999933893038648","0.001"
"17989_preprotein_translocase_subunit_YajC","6.61069613518961e-05","0.008"
"17992_hypothetical_protein","0.565713689442819","0.009"
"18020_hypothetical_protein","0.999933893038648","0.007"
"18026_hupB","0.999933893038648","0.002"
"18029_fadM","0.815425599915371","0.001"
"18034_yheI","0.531687287373535","0.003"
"18038_tesB","0.999933893038648","0.001"
"18101_hypothetical_protein","0.999933893038648","0.002"
"18152_fepD","0.999933893038648","0.008"
"18164_noc_2","0.886023807087853","0.001"
"18169_ahpF","0.723043917425383","0.004"
"18250_kdpA","0.999933893038648","0.003"
"18292_translocation_protein_TolB","0.999933893038648","0.009"
"18293_pal","0.398848285622764","0.008"
"18294_tol-pal_system_protein_YbgF","0.429693886181604","0.006"
"18362_ompX","0.909830056250526","0.005"
"18380_gsiB","0.986097689013881","0.009"
"18437_trxB","0.980881970604468","0.002"
"18473_mukB","0.704894814844512","0.002"
"18477_aspC","0.928754747239504","0.001"
"18486_ssuE","0.999933893038648","0.003"
"18500_pqiB_2","0.970424982257235","0.002"
"18501_hypothetical_protein","0.999933893038648","0.001"
"18539_GnsA-GnsB_family_protein","0.999933893038648","0.001"
"18540_yccM_2","0.999933893038648","0.002"
"18550_agp","0.831074710065126","0.001"
"18639_acpP","0.852415965019888","0.003"
"18650_lpoB","0.999933893038648","0.004"
"18705_lexA_2","0.843520712514865","0.005"
"18709_fadR","0.999933893038648","0.001"
"18722_dhaL","0.999933893038648","0.006"
"18736_hypothetical_protein","0.716047247147172","0.006"
"18737_hypothetical_protein","0.999933893038648","0.001"
"18765_hypothetical_protein","0.63951467667333","0.006"
"18866_abgA","0.568749894291061","0.004"
"18879_ldhA","0.999933893038648","0.001"
"18901_ydbC","0.999933893038648","0.002"
"18923_tehB_2","0.999933893038648","0.005"
"18941_hypothetical_protein","0.849193802210531","0.001"
"19026_yedQ_2","0.840033860816086","0.001"
"19053_ydfZ","0.983181951653041","0.007"
"19129_Aminodeoxyfutalosine_deaminase","0.924213489504066","0.002"
"19161_grxD","0.95251284338618","0.001"
"19162_mepH","0.999933893038648","0.002"
"19173_ydhR","0.65619077892186","0.003"
