"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86"
"15176_wzc",-1.90212911819126,-0.456706950125119,1.14889441620606,1.66695385367277,-2.02599021508472,-1.20911490152503,0.787045902067704,1.57737948309498,1.37779889372648,1.91450582505556,-1.50511635588495,-1.66294751679036,-1.71290175423982,-1.35990208451653,-1.51451180071342,-1.44278610196098,-1.92080579965011,-1.41498006674021,-1.59858848344773,-1.49279213496691,-2.12997761820762,0.0255499502269242,-0.670721315048369,-1.83878209915831,-1.93363944406805,-1.5568571855548
"15177_wzb",-3.23910820172794,-0.928944854387909,0.197131006270073,1.00240695930424,-2.70674882282772,-3.23910820172794,-0.144264301585617,0.994162246542563,-1.02756036859966,-0.349094473663316,-3.54029483495992,-2.17040710302646,-2.70674882282772,-1.77233521550386,-2.17040710302646,-1.72165576746591,-2.50083502844607,-2.15996499294698,-2.54938314541611,-0.916675801769011,-2.63582561559906,-0.930488326665374,-1.30162221007061,-1.56362493531528,-2.54938314541611,-2.31920925218679
"15747_trmD",1.90828093262844,2.66961064482022,1.90212911819126,2.79463443097075,2.06663049746835,2.52436572673771,1.73957055992116,2.7480435884651,1.87821529502161,2.66961064482022,2.14975322091112,2.98912660256995,2.17040710302646,2.84821777772748,-2.63582561559906,-2.5761058109601,2.31920925218679,2.84821777772748,1.85532969187752,2.91148756061042,2.38269877007496,3.23910820172794,1.92718294599787,2.91148756061042,2.29067160535031,2.98912660256995
"15749_rpsP",1.24745634992057,2.13976082407984,1.59143909723278,2.203238576878,1.84424198812917,1.96719554474612,1.53047466209302,2.07518249562542,1.51451180071342,2.15996499294698,1.7533825112876,2.31920925218679,1.70427707093824,2.1920305864606,-2.30470584083904,-3.23910820172794,1.71290175423982,2.23863221849027,1.42597035804861,2.203238576878,1.75806170721004,2.36591421129296,1.3908576897579,2.18109137484796,1.77717428882017,2.41843267022251
"17141_hypothetical_protein",-1.00075257464001,-0.617703835037156,0.880668626913923,1.30162221007061,-0.949186081534884,-0.897027512004271,0.922792964544846,1.07455515008789,-0.169621575292662,-0.260906427221613,-1.31816015725191,-0.965024832333535,-1.3498679206062,-1.486714135379,-1.10725093403067,-0.868917811892115,-1.52725087036846,-1.25183088145851,-1.19877484166589,-0.81465855017435,-1.26510042176139,0.199174432081963,-0.861634120174172,-1.26287336821314,-1.15083490993918,-0.900027689038753
"15010_argS",0.699863122257442,1.60219402997842,0.854395855663118,1.54024272495743,1.02586327575202,1.37521516480702,0.680791866265512,1.36751854105575,0.968221713200577,1.54353163276579,0.827288533847138,1.3908576897579,0.77481456652483,1.25622950077616,-2.52436572673771,-2.63582561559906,0.581725787340099,1.48069056711247,0.461159393250013,1.4204537659949,0.400689040408866,1.27859654103756,0.514196937707915,1.25843795329752,0.614070615106933,1.3908576897579
"15748_rimM",1.10355971913548,2.02599021508472,1.26287336821314,2.07518249562542,1.57391287085876,1.84975741478941,1.10355971913548,1.95350831916131,1.31339832692035,2.09275642718297,1.59858848344773,2.25107960998202,1.59858848344773,2.15996499294698,-2.98912660256994,-2.15996499294698,1.63181803090575,2.21473036809746,1.27181952444196,2.09275642718297,1.63181803090575,2.26388587228724,1.23233026315555,2.26388587228724,1.73054374003854,2.38269877007496
"16642_bcsB",-0.888075018029919,-0.738794199752755,0.458932034438445,0.396350438595385,0.624994876964101,0.308904616831201,0.529119403602546,0.421402449212277,0.479062053021177,0.644602750064054,-0.611652966926838,-0.355490417839531,0.729611815276968,0.565193075500444,-2.70674882282772,-3.54029483495992,1.02247792342112,0.446721800581575,1.0140653745825,0.460045428551163,1.18047901429228,0.776167860311196,0.877719566800522,0.425786000415653,-0.791149229275127,-0.53604643468028
"15750_ffh",1.08172104542844,1.33262810631357,0.932034018841274,1.2431055609711,1.01574213386638,1.32535945357346,0.933581941013918,1.327774546921,1.05512774038131,1.31339832692035,0.907563827068429,1.31102854010497,1.02756036859966,1.22169617852471,-2.27707454316652,-2.41843267022251,0.832944379065578,1.37007506941959,0.942916877770303,1.26510042176139,0.863087193858408,1.24745634992057,1.02756036859966,1.29696193430566,1.03952389473493,1.30162221007061
"15746_rplS",0.701143558226538,1.7869792192559,0.531425577703665,1.92718294599787,0.918201870765312,1.93363944406804,0.39418393733994,2.12997761820762,0.699863122257442,1.92718294599787,1.18856138664783,2.11100150789255,1.13543036268585,1.83878209915831,-2.41843267022251,-2.70674882282772,1.17847043356346,1.94017756955817,0.847202080645748,1.96719554474612,1.23877817680227,2.02599021508472,0.711428819871589,2.03385292145811,1.31339832692035,2.00312504021136
