,HM1_iJO1366,HM3_iJO1366,HM6_iJO1366,HM7_iJO1366,HM14_iJO1366,HM17_iJO1366,HM43_iJO1366,HM54_iJO1366,HM56_iJO1366,HM57_iJO1366,HM66_iJO1366,HM68_iJO1366,HM86_iJO1366
-1000.0,0.1625,0.2415,0.1903,0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
-100.0,0.1625,0.2415,0.1903,0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
-10.0,0.1625,0.2415,0.1903,0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
-1.0,0.1625,0.2415,0.1903,0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
-0.1,0.1625,0.2415,0.1903,0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
0.0,0.1625,0.2415,0.1902,0.0,0.2391,0.1893,0.1625,0.1902,0.1902,0.1902,0.0,0.1902,0.1852
