,HM1_iJO1366,HM3_iJO1366,HM6_iJO1366,HM7_iJO1366,HM14_iJO1366,HM17_iJO1366,HM43_iJO1366,HM54_iJO1366,HM56_iJO1366,HM57_iJO1366,HM66_iJO1366,HM68_iJO1366,HM86_iJO1366
-0.1,0.4025,0.9824,0.9824,0.8295,0.9793,0.9707,0.4025,0.9755,0.9824,0.9824,0.8561,0.9824,0.9662
-0.01,0.4025,0.6226,0.6226,0.6226,0.6226,0.6226,0.4025,0.6226,0.6226,0.6226,0.6226,0.6226,0.6226
-0.001,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623
-0.0001,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
-1e-05,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
