"","K-statistic","P-value"
"15999_Limonene_hydroxylase","0.723500262779777","0.004"
"16007_mocA","1.45872645475011","0.002"
"16010_cdhB","0.454450528560222","0.046"
"16012_xanQ","0.675852810695614","0.003"
"16013_guaD","0.507077092793354","0.011"
"16025_isiB","0.556089103893111","0.025"
"16030_hypothetical_protein","0.453117244845978","0.036"
"16031_bglA_1","0.85791926957638","0.004"
"16041_5-formyltetrahydrofolate_cyclo-ligase_family_protein","0.510488609415149","0.022"
"16056_epd","0.451895667920885","0.034"
"16065_adhT","0.639516515496519","0.009"
"16066_mtlA_1","0.630654843373856","0.011"
"16067_cmtB","0.932796199511182","0.005"
"16097_hypothetical_protein","0.59697669544948","0.015"
"16162_DNA_gyrase_inhibitor","0.486732887919276","0.015"
"16174_tolC","2.23755434621041","0.002"
"16181_Membrane_fusogenic_activity","0.870407071209233","0.001"
"16187_yqiJ","0.789230155992472","0.003"
"16189_hldE","1.30709633226684","0.001"
"16191_CYTH_domain_protein","1.42551900360148","0.001"
"16197_dmlR_2","0.471132869849075","0.03"
"16199_ttdB","0.435576521456481","0.036"
"16213_ebgC","0.453516002053745","0.032"
"16220_hypothetical_protein","0.47709284076873","0.035"
"16226_uxaA","0.681596950061201","0.022"
"16228_exuT","0.943165718327175","0.002"
"16234_lldR_2","0.521094400361308","0.019"
"16241_yqjF","0.462151732793273","0.024"
"16247_hypothetical_protein","0.565557832666416","0.027"
"16252_tdcE","0.554348321385734","0.018"
"16254_tdcC","0.639105007907984","0.014"
"16263_garD","0.967299464678646","0.003"
"16267_kbaZ","0.477625719977724","0.036"
"16268_levE_2","0.572139990304246","0.019"
"16269_agaC_2","0.480096092864267","0.021"
"16271_manX_3","0.597602331657852","0.011"
"16274_kbaY","0.440327075998604","0.041"
"16278_nagB_1","0.505488971892973","0.035"
"16286_diaA","0.628388559049791","0.016"
"16287_osmY_1","0.717882600906741","0.029"
"16291_hypothetical_protein","0.657530969790413","0.007"
"16294_SCP-2_sterol_transfer_family_protein","0.94200044893506","0.001"
"16295_yhbU_2","0.536517526020269","0.037"
"16305_infB","0.672128823369913","0.007"
"16310_secG","0.463915113238404","0.049"
"16312_folP","0.523185397542868","0.02"
"16313_ftsH","0.598759771139483","0.038"
"16316_greA","0.655938347886113","0.009"
"16328_mlaC","0.540906169054925","0.034"
"16334_kdsC","0.587597731196262","0.014"
"16335_lptC","0.477844465074768","0.045"
"16336_lptA","1.00741765931829","0.001"
"16337_lptB_1","1.01818330350863","0.003"
"16354_nanE","0.451415022391446","0.028"
"16357_lutR_1","1.4464538429844","0.001"
"16359_sspB","0.850050170235493","0.001"
"16375_protease_TldD","0.514072743747869","0.022"
"16377_rng","0.46785938430642","0.033"
"16379_mreD","0.464873029027799","0.033"
"16401_glnQ_1","0.995649076179635","0.001"
"16422_rpmJ","0.591386208898325","0.012"
"16424_rplO","0.516508888341424","0.019"
"16425_rpmD","0.63917479981664","0.01"
"16426_rpsE","0.606997897499032","0.007"
"16434_rpsQ","0.663718769162474","0.009"
"16435_rpmC","0.625318295457238","0.007"
"16436_rplP","0.667138604549251","0.007"
"16437_rpsC","0.687458449956128","0.005"
"16438_rplV","0.580634704560753","0.011"
"16439_rpsS","0.557908629453329","0.013"
"16449_fusA","0.499236279782873","0.028"
"16453_dsrF","0.470862858528485","0.029"
"16456_fkpA","0.621344891726162","0.037"
"16467_crp","0.71265455768439","0.003"
"16478_cysG","1.13700668344161","0.001"
"16479_hypothetical_protein","0.471259263724511","0.036"
"16489_gph","0.756897939133529","0.007"
"16490_rpe_1","0.584009337804803","0.008"
"16491_dam","0.461723420640783","0.039"
"16500_hypothetical_protein","0.948381807752875","0.002"
"16503_hypothetical_protein","0.493518483081718","0.038"
"16508_pckA","0.463827103950534","0.038"
"16518_bioH","0.49028474954964","0.044"
"16520_nfuA","0.554517531438983","0.022"
