"","K-statistic","P-value"
"17552_rob_1","0.62330846220303","0.005"
"17584_fkpB","0.930081665167488","0.001"
"17609_rsmA","0.9113351387277","0.003"
"17614_rluA","0.591404284946482","0.015"
"17646_murG","0.59548721046548","0.01"
"17668_pdhR_3","0.594450368189346","0.013"
"17669_aceE","1.0497812142671","0.002"
"17670_aceF","0.885352057606873","0.003"
"17671_lpdA","0.711859105173286","0.006"
"17682_drrA","1.34536537509137","0.001"
"17683_yadH","0.727965125476436","0.001"
"17699_gluQ","0.466298446859528","0.047"
"17702_ligT","0.513453190204663","0.015"
"17711_erpA","0.924797346811534","0.003"
"17714_mtnN","0.596343857766046","0.017"
"17719_dapD","0.541083801782706","0.016"
"17724_pyrH","1.1817560738194","0.001"
"17729_cdsA_1","0.443539201034119","0.04"
"17748_nlpE","0.450546287003955","0.049"
"17752_rcsF","0.444098353834581","0.038"
"17961_sbmA","0.499134336679958","0.045"
"17970_proC","0.611890720163483","0.011"
"17981_phoB","0.5478159193721","0.037"
"17982_phoR","0.836364987207348","0.02"
"17989_preprotein_translocase_subunit_YajC","0.683195809786854","0.007"
"18003_ispA","0.894567104313658","0.003"
"18018_cyoA","0.707588352768813","0.004"
"18019_muropeptide_transporter","0.76051346368768","0.006"
"18028_comEA","0.593700267083465","0.014"
"18037_amtB","0.586641248407528","0.021"
"18052_priC","0.725779911709547","0.001"
"18074_cueR","0.454942027187954","0.037"
"18143_small_toxic_polypeptide","0.578560542798552","0.013"
"18170_uspG","0.424170217519896","0.045"
"18190_lipA","0.503056095142465","0.023"
"18194_dacA","0.475446424116978","0.026"
"18202_holA","0.44221096083853","0.048"
"18284_cydA","0.496512611791098","0.031"
"18285_cydB","0.567151809150267","0.015"
"18305_galE","0.440733168420483","0.049"
"18326_Putative_gluconeogenesis_factor","0.544450088181631","0.019"
"18339_ybhQ","0.513237881584951","0.025"
"18357_glnQ_3","0.4843850234687","0.017"
"18358_glnP","0.548545916255631","0.013"
"18390_deoR_2","0.791500688467041","0.004"
"18394_ybjI","0.5964751703349","0.005"
"18426_recF_2","0.513476066750352","0.043"
"18437_trxB","0.769378744788199","0.003"
"18440_lolA","0.501403791812447","0.018"
"18467_kdsB","0.418306883928969","0.048"
"18567_efeB","0.516097860699553","0.036"
"18601_moeZ","0.441192821700191","0.03"
"18605_solA","0.62318675689389","0.015"
"18626_flgI_2","0.552976854446745","0.036"
"18653_hypothetical_protein","0.535840965040838","0.011"
"18659_mfd","0.436598537675204","0.035"
"18662_lolD_2","0.858278945340202","0.004"
"18679_mnmA","0.483776451404375","0.031"
"18700_pliG","1.0845086480487","0.003"
"18727_pth","0.475283544908236","0.046"
"18737_hypothetical_protein","0.716845419809073","0.012"
"18745_DsrE-DsrF-like_family_protein","0.467567281851283","0.032"
"18746_Invasin","0.631490046298939","0.008"
"18785_trpA","0.811498694486887","0.004"
"18786_trpB","0.520978659201014","0.022"
"18788_trpGD","0.606198686935654","0.019"
"18796_hypothetical_protein","0.496923939792889","0.024"
"18802_acnA","0.555902378856454","0.031"
"18817_oppF_3","0.922228769544963","0.002"
"18822_hypothetical_protein","0.525721096774237","0.031"
"18879_ldhA","0.558514483870878","0.031"
"18908_hrpB_2","0.573722226657955","0.014"
"18933_ydcR","0.466509850081527","0.042"
"18941_hypothetical_protein","0.466490396866264","0.039"
"18963_flr","0.588408081599947","0.013"
"18974_fdnG_1","0.512300327884059","0.021"
"18976_fdnH_2","0.569527594795386","0.028"
"18977_fdnI","0.461255556688894","0.047"
"18978_yddM","0.415881516451361","0.049"
"19116_hypothetical_protein","0.53710080009072","0.016"
"19119_manA","0.854078577340958","0.006"
"19144_tyrS","1.01904191111872","0.003"
"19154_ydhF","1.16657332337035","0.002"
