"","Row.names","UR1","UR3","UR6","UR7","UR14","UR17","UR43","UR54","UR56","UR57","UR66","UR68","UR86","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"1","14808_ydiI_1",238.655876926251,0,199.418188671169,103.864359717135,151.652082367285,255.52719460566,306.267125234638,349.965756258532,452.750588556278,287.237464989646,542.770976835352,423.011125932646,353.289290579946,96.4968123593691,0,195.099960188393,41.0732655995565,69.9271537134449,73.1118784045185,165.387586973939,103.108384610868,135.210845927249,41.7815766009724,149.697625603601,89.8200484626707,148.169460521272
"2","14819_caiA_1",31.1742074359399,0,39.111073322917,12.8660805955911,19.4005366632022,72.962253821317,62.9870125482558,48.699649383385,60.0701026585725,54.4525999980372,68.6637982743518,127.769062737595,28.2110612870964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",38.7945692536141,13.8427794387932,39.59392607999,13.3339380717944,16.3948197153821,43.6499073079495,33.5160250256774,39.9672984594677,30.7766575349476,36.0748474986997,30.6534813724785,27.7629038191504,38.1934368194536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","14828_aroG_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1067.14121903302,1370.65034273726,1349.44139130305,1129.5148039878,1249.72374713516,434.370571697434,979.199522877448,1127.3831864528,943.448812999837,626.723649014586,523.941689612605,494.010266544689,724.624368972642
"5","14831_ydiV",348.111983034662,727.438059508583,314.819997611628,848.459533094708,577.91739496722,299.17710191361,214.098056414025,378.849686237643,401.208957262811,207.260208742529,493.31669355442,232.850161063842,255.635616893843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","14832_mepS_1",380.671710801088,495.802216899443,341.618325629182,553.709323086621,475.996265736595,348.24342107729,336.315975257659,336.195510570817,381.185589709954,355.643543737181,345.362556796591,521.82318146102,279.506514906001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","14841_infC",25497.3842618552,16168.8278104918,21016.8905307401,14311.5262683212,16592.3772929525,19809.0926062565,23042.2672051532,20947.9022875249,25260.5905772382,19957.2182280306,25195.9355489224,15474.0873060824,25941.1558943039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","14849_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.43273859833,184.827349287667,296.714522786515,236.17127719745,183.484070000236,378.461488211625,375.403570432909,355.04302248082,458.10241829083,396.924977709238,149.697625603601,547.902295622291,348.252308670434
"9","14856_hypothetical_protein",183.235063706802,198.643884946682,109.124723098509,189.716206600443,180.343016869204,114.063261432452,109.793875084116,132.328702462439,126.814661168097,114.350459995878,122.613925489914,142.396829265965,133.243012540594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","14857_chbF",92.8298621425766,174.649733919441,173.102713410688,219.191227601252,162.308715182283,192.123314647398,176.82592513547,135.015579669798,174.648261433257,168.462731243928,193.321289189098,287.778917007107,321.606098672899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","14858_chbR",216.833931721093,137.043516444053,104.779048284852,154.159038408992,117.222960964982,125.851922530219,110.66066883478,99.4144566722894,132.376707710558,111.968158745964,115.665803045485,101.498788156034,157.547926880246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","14863_nadE",919.639119360227,1315.52547266665,877.102033223193,1344.38845787022,1098.99941492112,1171.21941068629,1218.13415093324,938.727724321111,1082.3742571628,1178.21813245753,1107.61246025889,1478.00147106036,1128.00843515636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","14875_ydjZ_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9209435998763,73.1989502129376,20.3229125196243,61.6098983993347,41.2390906515188,21.5034936483878,31.5023975188455,24.3180152384123,34.8117476454485,20.8907883004862,0,62.8740339238695,21.6305781782878
"14","14886_topB",688.949984334272,352.298736717287,696.997954834946,455.225324345823,516.98331502505,953.288486608648,1127.12080711351,830.916776375824,1076.07060441467,884.17409246813,1045.488071344,969.014901042604,822.02692427324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","14897_mipA_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7379.16800395176,9863.55854119334,4141.80957149943,9179.87486150088,5464.47834531647,4627.55183313306,2934.97336883911,4377.24274291422,7589.97002287141,5431.60495812641,3517.89420168463,6215.54735361681,5313.55152949641
"16","14900_yeaI",19.0509045441855,24.9170029898278,13.0370244409723,30.644664691317,14.7553377438439,7.96531155254552,13.001906259961,12.4268070840362,11.4948961877515,8.16788999970558,10.2178271241595,15.8218699184405,14.3225388072951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","14904_ripA_1",108.070585777925,122.970024014613,90.7763183297332,128.894734694013,96.1829423302419,70.7319665866042,70.7881563042324,69.1870880894987,58.5868902472497,82.699886247019,79.699051568444,85.3783923900754,98.0876900135968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
