"","K-statistic","P-value"
"16869_cysJ_3","0.492683098009026","0.034"
"16873_ravA","0.948926511118186","0.001"
"16875_potassium_transport_protein_Kup","0.531207205752493","0.022"
"16897_rep","0.492105663237888","0.043"
"16911_rffA","0.643147496469963","0.011"
"16921_hemD","0.503868366313116","0.027"
"16922_hemC","0.414132795347427","0.048"
"16924_frataxin-like_protein","0.58477501256246","0.018"
"16937_hypothetical_protein","0.560937446324801","0.032"
"16944_EamA-like_transporter_family_protein","0.445580644901844","0.038"
"16948_udp","0.484950821184458","0.027"
"16951_SCP-2_sterol_transfer_family_protein","0.554692420290135","0.012"
"16966_mobB","0.437118446071779","0.049"
"16968_hypothetical_protein","0.485058269347485","0.032"
"16977_hemN_2","0.491040437742453","0.028"
"16978_hypothetical_protein","0.559152820898931","0.014"
"17008_fdoG_1","0.515660538551114","0.033"
"17023_sodA","0.514116941763914","0.042"
"17026_cpxA","1.10142346325198","0.001"
"17027_walR","0.647156617975713","0.001"
"17033_cdh","0.626493685584889","0.009"
"17039_fpr","0.59987531217761","0.006"
"17050_priA","0.466124852137434","0.037"
"17058_metJ","0.484711526644531","0.03"
"17065_gldA_1","0.563577820265268","0.027"
"17083_sthA","0.914439009192779","0.003"
"17085_yijD","0.611945441805755","0.013"
"17108_rsd","0.622443637821629","0.005"
"17137_pgi","0.482078874534388","0.032"
"17140_hypothetical_protein","1.28832035720223","0.004"
"17158_lexA_1","0.774030767904952","0.002"
"17164_pspG","0.615717705681117","0.01"
"17175_hypothetical_protein","0.512731918434537","0.019"
"17222_hypothetical_protein","0.523834729875063","0.014"
"17224_basR","0.437873006640027","0.043"
"17263_ampC","0.722992445328157","0.007"
"17272_mscM","0.439668910609848","0.026"
"17274_rsgA","0.520368921690259","0.019"
"17275_orn","0.957172747952053","0.002"
"17276_queG","0.508867772801227","0.022"
"17278_tsaE","0.584349603618766","0.029"
"17280_mutL","0.466812104937954","0.028"
"17289_rnr","0.469250826654905","0.038"
"17334_hypothetical_protein","0.654480749608547","0.012"
"17366_argI","0.739076047084294","0.044"
"17370_valS","0.43561235635429","0.042"
"17448_uxuA","0.487439952112525","0.026"
"17533_Patatin-like_phospholipase","0.414583138519769","0.049"
"17540_deoD","0.671771328302257","0.022"
"17545_hypothetical_protein","0.564431584358165","0.011"
"17552_rob_1","0.62330846220303","0.001"
"17584_fkpB","0.930081665167488","0.003"
"17609_rsmA","0.9113351387277","0.002"
"17614_rluA","0.591404284946482","0.017"
"17646_murG","0.59548721046548","0.006"
"17668_pdhR_3","0.594450368189346","0.014"
"17669_aceE","1.0497812142671","0.001"
"17670_aceF","0.885352057606873","0.001"
"17671_lpdA","0.711859105173286","0.006"
"17682_drrA","1.34536537509137","0.001"
"17683_yadH","0.727965125476436","0.002"
"17699_gluQ","0.466298446859528","0.044"
"17702_ligT","0.513453190204663","0.022"
"17711_erpA","0.924797346811534","0.002"
"17714_mtnN","0.596343857766046","0.019"
"17719_dapD","0.541083801782706","0.021"
"17724_pyrH","1.1817560738194","0.001"
"17729_cdsA_1","0.443539201034119","0.042"
"17748_nlpE","0.450546287003955","0.047"
"17752_rcsF","0.444098353834581","0.045"
"17961_sbmA","0.499134336679958","0.041"
"17970_proC","0.611890720163483","0.007"
"17981_phoB","0.5478159193721","0.024"
"17982_phoR","0.836364987207348","0.012"
"17989_preprotein_translocase_subunit_YajC","0.683195809786854","0.011"
"18003_ispA","0.894567104313658","0.002"
"18018_cyoA","0.707588352768813","0.006"
"18019_muropeptide_transporter","0.76051346368768","0.003"
"18028_comEA","0.593700267083465","0.012"
"18037_amtB","0.586641248407528","0.025"
"18052_priC","0.725779911709547","0.002"
"18143_small_toxic_polypeptide","0.578560542798552","0.01"
"18190_lipA","0.503056095142465","0.017"
"18194_dacA","0.475446424116978","0.027"
"18202_holA","0.44221096083853","0.049"
"18284_cydA","0.496512611791098","0.035"
"18285_cydB","0.567151809150267","0.022"
"18326_Putative_gluconeogenesis_factor","0.544450088181631","0.01"
"18339_ybhQ","0.513237881584951","0.03"
"18357_glnQ_3","0.4843850234687","0.021"
"18358_glnP","0.548545916255631","0.013"
"18375_moeB","0.416996811238327","0.043"
"18390_deoR_2","0.791500688467041","0.002"
"18394_ybjI","0.5964751703349","0.006"
"18426_recF_2","0.513476066750352","0.029"
"18437_trxB","0.769378744788199","0.002"
"18440_lolA","0.501403791812447","0.016"
"18567_efeB","0.516097860699553","0.025"
"18601_moeZ","0.441192821700191","0.04"
"18605_solA","0.62318675689389","0.012"
"18653_hypothetical_protein","0.535840965040838","0.019"
"18659_mfd","0.436598537675204","0.049"
"18662_lolD_2","0.858278945340202","0.003"
"18679_mnmA","0.483776451404375","0.024"
"18700_pliG","1.0845086480487","0.006"
"18727_pth","0.475283544908236","0.029"
"18737_hypothetical_protein","0.716845419809073","0.006"
"18743_chaB","0.46519934294105","0.038"
"18745_DsrE-DsrF-like_family_protein","0.467567281851283","0.031"
"18746_Invasin","0.631490046298939","0.007"
"18785_trpA","0.811498694486887","0.002"
"18786_trpB","0.520978659201014","0.02"
"18788_trpGD","0.606198686935654","0.011"
"18796_hypothetical_protein","0.496923939792889","0.026"
"18802_acnA","0.555902378856454","0.015"
"18817_oppF_3","0.922228769544963","0.001"
"18822_hypothetical_protein","0.525721096774237","0.027"
"18879_ldhA","0.558514483870878","0.04"
"18908_hrpB_2","0.573722226657955","0.013"
"18941_hypothetical_protein","0.466490396866264","0.042"
"18963_flr","0.588408081599947","0.022"
"18974_fdnG_1","0.512300327884059","0.018"
"18976_fdnH_2","0.569527594795386","0.026"
"18977_fdnI","0.461255556688894","0.041"
"18978_yddM","0.415881516451361","0.047"
"19037_hypothetical_protein","0.494943985320481","0.044"
"19092_hypothetical_protein","0.487617883557231","0.04"
"19116_hypothetical_protein","0.53710080009072","0.02"
"19119_manA","0.854078577340958","0.004"
"19144_tyrS","1.01904191111872","0.004"
"19154_ydhF","1.16657332337035","0.003"
