"","log2FoldChange","symbol","bnum"
"16424_rplO",2.02722315620963,"rplO","b3301"
"16431_rplE",2.02183001417872,"rplE","b3308"
"17033_cdh",2.01146509815219,"cdh","b3918"
"16391_yhdJ",2.00760245084695,"yhdJ","b3262"
"16417_rplQ",1.9961837452679,"rplQ","b3294"
"15657_der",1.98404481946202,"engA","b2511"
"18223_miaB",1.98000630964584,"yleA","b0661"
"18494_pyrD",1.97136371378335,"pyrD","b0945"
"17086_trmA",1.97106643526885,"trmA","b3965"
"17724_pyrH",1.95096308617542,"pyrH","b0171"
"16131_pitA_1",1.94510571372771,"pitA","b3493"
"18368_yheS_2",1.94210096924023,"ybiT","b0820"
"18636_fabH",1.93107925866959,"fabH","b1091"
"18671_potB",1.92941760184126,"potB","b1125"
"15722_srmB",1.92602941188632,"srmB","b2576"
"17218_hypothetical_protein",1.92089554678935,"phnA","b4108"
"16731_gpmI",1.9092313093948,"gpmI","b0755"
"16304_rbfA",1.90467735554352,"rbfA","b3167"
"18778_putative_acyl-CoA_thioester_hydrolase",1.89158535538461,"yciA","b1253"
"17177_soxS",1.89010140633893,"soxS","b4062"
"16305_infB",1.8893448302198,"infB","b3168"
"18355_rlmF",1.88821518030005,"ybiN","b0807"
"17313_rplI",1.8819257958202,"rplI","b4203"
"16223_alx",1.87996300527815,"alx","b3088"
"17095_rplK",1.87923822975184,"rplK","b3983"
"18735_prmC",1.87916138944702,"prmC","b1212"
"16435_rpmC",1.87583447617112,"rpmC","b3312"
"17342_ppa",1.87209027295848,"ppa","b4226"
"16868_mnmG",1.85468160381932,"gidA","b3741"
"17841_gpt",1.85461719073897,"gpt","b0238"
"18433_infA",1.84282548242956,"infA","b0884"
"18635_plsX",1.84006581645893,"plsX","b1090"
"15895_hypothetical_protein",1.83910087551961,"yqcC","b1316"
"17310_rpsF",1.82677090735612,"rpsF","b4200"
"17699_gluQ",1.82526030344462,"yadB","b0144"
"16386_hypothetical_protein",1.81851881177894,"yhdT","b1316"
"18022_tig",1.80868547579849,"tig","b0436"
"15642_uraA",1.80802135011321,"uraA","b2497"
"16759_pyrE",1.80550343610181,"pyrE","b3642"
"15038_tyrP",1.80148805778276,"tyrP","b1907"
"16202_rpsU",1.80144506356011,"rpsU","b3065"
"15644_purM",1.79857865429649,"purM","b2499"
"16982_typA",1.78611425386115,"yihK","b3871"
"16578_yhhQ",1.78059154710429,"yhhQ","b3471"
"17676_speE",1.77571918546116,"speE","b0121"
"16501_mrcA",1.76103764666763,"mrcA","b3396"
"14969_purT",1.74795872162593,"purT","b1849"
"16303_truB",1.72618421780609,"truB","b3166"
"15288_lysP",1.7116374794974,"lysP","b2156"
"15653_guaA",1.70702267761536,"guaA","b2507"
"16411_rsmB",1.70674808788974,"rsmB","b3289"
"17032_sbp",1.69513926534758,"sbp","b3917"
"16826_rpmH",1.68207108730097,"rpmH","b3703"
"17045_menA",1.6754393178738,"menA","b3930"
"15894_truC",1.67451930515006,"truC","b2791"
"16972_yihG",1.6644825191489,"yihG","b3862"
"18516_rlmI",1.66090422119471,"yccW","b0967"
"19138_rnfE",1.64574148955137,"rnfE","b1632"
"18637_fabD",1.64551944098518,"fabD","b1092"
"18503_fabA",1.64124180916362,"fabA","b0954"
"16786_yicO",1.62622749317762,"yieG","b4464"
"17606_folA",1.6171701895071,"folA","b0048"
"17120_purH",1.61019882355862,"purH","b4006"
"18872_dbpA",1.60999490594909,"dbpA","b1343"
"16380_mreC",1.60744476030224,"mreC","b3250"
"16957_rfaH",1.59386596529105,"rfaH","b3842"
"18678_hflD",1.59041703773462,"ycfC","b1132"
"15736_rluD",1.588340183531,"rluD","b2594"
"19135_rnfC",1.58399645155581,"rsxC","b1629"
"14940_rlmA",1.57662242743967,"rrmA","b1822"
"15182_udk",1.57111152537248,"udk","b2066"
"18497_rlmL",1.55395167591222,"rlmL","b0948"
"16505_hslR",1.54220805154116,"yrfH","b3400"
"14841_infC",1.53855555024892,"infC","b1718"
