"","K-statistic","P-value"
"17082_oxyR_1","0.928486017906494","0.003"
"17085_yijD","0.637234338267138","0.007"
"17088_murI","1.1145384723053","0.001"
"17109_nudC","0.897727918559243","0.005"
"17110_hemE","0.795206587055062","0.001"
"17127_iclR","0.654828874294984","0.007"
"17130_pepE","0.597984935369263","0.008"
"17141_hypothetical_protein","1.56850358524149","0.001"
"17158_lexA_1","0.746797089407937","0.004"
"17166_dnaB","0.694379292576906","0.005"
"17175_hypothetical_protein","0.824155174803077","0.002"
"17193_Sel1_repeat_protein","1.5287177011069","0.001"
"17205_phnN","0.660650926507778","0.004"
"17213_phnF","0.838869327368136","0.001"
"17238_Acetyltransferase_-GNAT-_family_protein","0.706322039950572","0.006"
"17278_tsaE","0.754798882899137","0.001"
"17280_mutL","1.06819502795323","0.001"
"17285_hflC","0.596907737166064","0.006"
"17290_rlmB_2","0.752078270223375","0.005"
"17368_Acetyltransferase_-GNAT-_family_protein","0.90570898065058","0.005"
"17374_lptG_2","0.784637572131999","0.004"
"17464_fldC","0.740914686451239","0.002"
"17487_ttuB","2.19252654306717","0.002"
"17498_yjjM","1.58264165829795","0.001"
"17499_yjjN","2.14465980633293","0.001"
"17550_yjjX","1.19970253279908","0.002"
"17557_arcA","0.880428355235238","0.002"
"17567_yaaH","0.673819513833598","0.004"
"17568_hypothetical_protein","1.44452250739842","0.001"
"17573_nhaA","0.869913977318192","0.001"
"17587_rihC","0.962405020386657","0.002"
"17596_caiB","0.735182250885855","0.002"
"17602_hypothetical_protein","0.638981505293755","0.006"
"17610_pdxA","0.775278802533858","0.004"
"17617_araD","0.747272680942321","0.003"
"17642_murF","0.677233993958946","0.004"
"17669_aceE","0.849729773004805","0.001"
"17670_aceF","0.691302042963251","0.009"
"17703_hrpB_1","0.863428071382079","0.003"
"17704_mrcB","0.920566504553977","0.001"
"17718_hypothetical_protein","0.681228302168934","0.006"
"17723_tsf","0.82774556069438","0.004"
"17730_rseP","0.787991574420432","0.005"
"17731_bamA","0.925147714261789","0.002"
"17757_dkgB","1.14788758899308","0.001"
"17763_hypothetical_protein","0.76114148259799","0.002"
"17792_flhA_2","1.08990999009066","0.003"
"17886_ytbE","1.18552863623485","0.001"
"17906_allS_3","1.91487232236754","0.001"
"17913_atzC","0.746303914102131","0.001"
"17919_yahK","0.890853028028472","0.001"
"17937_lacI","0.850237200176709","0.001"
"17969_adrA","0.808509547756279","0.003"
"17974_hypothetical_protein","1.17157273344425","0.001"
"17992_hypothetical_protein","0.665592259257811","0.008"
"18026_hupB","0.686928668131936","0.005"
"18029_fadM","0.970502069068458","0.001"
"18034_yheI","0.665749916871076","0.003"
"18038_tesB","1.0646477128071","0.001"
"18092_allA","0.679825535249438","0.009"
"18101_hypothetical_protein","0.758335732719272","0.003"
"18152_fepD","0.693490624857541","0.008"
"18164_noc_2","1.30443946671996","0.001"
"18169_ahpF","0.638761436604819","0.009"
"18250_kdpA","0.804509661080877","0.001"
"18292_translocation_protein_TolB","0.754123847450445","0.002"
"18294_tol-pal_system_protein_YbgF","0.776595333534822","0.008"
"18362_ompX","0.64020739342008","0.005"
"18380_gsiB","0.755852121864053","0.008"
"18437_trxB","0.783030272756241","0.001"
"18473_mukB","0.998532305296762","0.002"
"18477_aspC","0.761946749387857","0.002"
"18486_ssuE","0.776103515403172","0.005"
"18500_pqiB_2","0.864055430143418","0.002"
"18501_hypothetical_protein","1.07668211584748","0.002"
"18539_GnsA-GnsB_family_protein","0.669187046009817","0.007"
"18540_yccM_2","0.874185862785752","0.003"
"18550_agp","0.868652750391194","0.003"
"18639_acpP","0.950747385411966","0.001"
"18650_lpoB","0.644221313666359","0.008"
"18709_fadR","0.863760471109595","0.004"
"18736_hypothetical_protein","0.641142322947791","0.005"
"18737_hypothetical_protein","1.31816768757932","0.001"
"18765_hypothetical_protein","0.7436750119864","0.005"
"18772_oppF_2","0.668417539995156","0.006"
"18866_abgA","0.927509657021669","0.003"
"18879_ldhA","1.36643625062955","0.001"
"18901_ydbC","0.897530135280149","0.001"
"18922_tehA","0.617934784237133","0.008"
"18923_tehB_2","0.672720152108392","0.008"
"18941_hypothetical_protein","0.867648358257084","0.003"
"19026_yedQ_2","1.02067559366334","0.001"
"19129_Aminodeoxyfutalosine_deaminase","1.18587940162103","0.001"
"19161_grxD","1.02059990097185","0.001"
"19162_mepH","0.871384984003953","0.002"
"19173_ydhR","0.853806274669322","0.002"
"19177_ydhX_2","0.574125114869837","0.007"
