,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b1669,269.0,9.0,501.0,37.0,192.0,22.0,484.0,21.0,274.0,44.0,308.0,10.0,257.0,58.0,211.0,37.0,263.0,45.0,270.0,7.0,112.0,3.0,252.0,0.0,150.0,10.0,208.0,30.0
b3952,478.0,16.0,157.0,20.0,786.0,13.0,208.0,6.0,176.0,36.0,268.0,5.0,141.0,41.0,229.0,34.0,175.0,66.0,191.0,6.0,134.0,9.0,1278.0,4.0,97.0,14.0,187.0,26.0
b3523,1591.0,14.0,3317.0,21.0,3127.0,24.0,4146.0,18.0,1738.0,59.0,6687.0,26.0,4227.0,67.0,4199.0,24.0,3740.0,40.0,3268.0,7.0,4437.0,6.0,2435.0,1.0,2825.0,19.0,3702.0,95.0
b4175,4836.0,2062.0,5646.0,2475.0,8578.0,2371.0,7108.0,822.0,6813.0,2876.0,8540.0,565.0,9460.0,4197.0,9023.0,2586.0,11460.0,7705.0,7032.0,322.0,5613.0,201.0,6569.0,13.0,11222.0,630.0,5148.0,2474.0
b4227,6231.0,25.0,3511.0,73.0,2983.0,205.0,6123.0,37.0,5549.0,86.0,844.0,14.0,391.0,57.0,4041.0,78.0,1171.0,135.0,1876.0,13.0,5133.0,14.0,1255.0,3.0,275.0,22.0,419.0,28.0
b1107,1749.0,415.0,2705.0,796.0,2545.0,470.0,3530.0,263.0,2446.0,1418.0,2561.0,218.0,4062.0,802.0,2767.0,934.0,2210.0,1490.0,3037.0,100.0,1431.0,84.0,1718.0,9.0,3253.0,355.0,1783.0,615.0
b2140,558.0,315.0,1883.0,491.0,1537.0,253.0,565.0,104.0,376.0,830.0,306.0,106.0,209.0,383.0,201.0,488.0,202.0,1081.0,122.0,50.0,115.0,52.0,356.0,3.0,158.0,132.0,293.0,692.0
b3461,5543.0,655.0,9515.0,1224.0,7577.0,1102.0,9477.0,446.0,6892.0,1655.0,4384.0,186.0,6839.0,1238.0,4765.0,2230.0,3003.0,2055.0,5739.0,182.0,2205.0,110.0,2894.0,4.0,5584.0,319.0,2791.0,816.0
b3863,4768.0,1162.0,5883.0,2146.0,5954.0,1493.0,6113.0,465.0,6376.0,3857.0,7791.0,577.0,7501.0,2092.0,6583.0,2657.0,5930.0,4639.0,7740.0,385.0,4266.0,249.0,5228.0,27.0,6992.0,829.0,5313.0,1589.0
b3167,734.0,704.0,739.0,1673.0,529.0,547.0,510.0,309.0,507.0,1714.0,559.0,135.0,769.0,570.0,648.0,518.0,764.0,1476.0,734.0,71.0,480.0,65.0,606.0,4.0,737.0,251.0,594.0,406.0
b3346,5761.0,704.0,8035.0,1495.0,7138.0,799.0,8415.0,334.0,5482.0,2921.0,5356.0,236.0,4397.0,1516.0,4806.0,1573.0,4012.0,2279.0,4463.0,148.0,3226.0,170.0,4184.0,20.0,3141.0,480.0,4308.0,891.0
b0162,470.0,199.0,547.0,56.0,379.0,343.0,340.0,10.0,636.0,108.0,244.0,16.0,354.0,98.0,396.0,123.0,254.0,91.0,292.0,16.0,504.0,11.0,281.0,4.0,450.0,23.0,267.0,38.0
b1251,2750.0,50.0,4611.0,123.0,3325.0,110.0,4900.0,49.0,2580.0,225.0,3234.0,38.0,2870.0,300.0,2188.0,111.0,2942.0,325.0,2972.0,15.0,2242.0,7.0,1602.0,4.0,2255.0,32.0,1604.0,196.0
b0960,346.0,216.0,635.0,586.0,964.0,208.0,624.0,145.0,526.0,700.0,457.0,123.0,343.0,392.0,388.0,339.0,430.0,799.0,278.0,46.0,199.0,49.0,326.0,8.0,717.0,123.0,273.0,519.0
b0966,634.0,46.0,520.0,82.0,253.0,79.0,570.0,13.0,297.0,85.0,257.0,16.0,435.0,199.0,307.0,47.0,190.0,103.0,407.0,5.0,287.0,5.0,327.0,0.0,866.0,36.0,209.0,78.0
b2569,3452.0,2681.0,6866.0,5442.0,9855.0,2750.0,6909.0,1107.0,6161.0,6659.0,4960.0,1042.0,4343.0,4813.0,3829.0,4352.0,2736.0,8586.0,2418.0,425.0,2171.0,377.0,2515.0,37.0,7174.0,1119.0,1875.0,2603.0
b4480,1792.0,137.0,2114.0,190.0,2569.0,214.0,2763.0,140.0,1873.0,311.0,1403.0,29.0,1554.0,320.0,1643.0,410.0,1598.0,723.0,2409.0,59.0,822.0,26.0,1901.0,6.0,3145.0,139.0,2297.0,205.0
b2331,521.0,80.0,893.0,230.0,849.0,174.0,692.0,43.0,1110.0,392.0,885.0,78.0,714.0,262.0,631.0,171.0,553.0,376.0,961.0,52.0,386.0,27.0,627.0,1.0,498.0,59.0,432.0,180.0
b0521,44.0,6.0,87.0,13.0,68.0,9.0,47.0,2.0,64.0,22.0,60.0,0.0,38.0,15.0,152.0,64.0,63.0,11.0,50.0,4.0,29.0,3.0,40.0,1.0,35.0,4.0,37.0,11.0
b0766,777.0,238.0,1258.0,601.0,1302.0,543.0,307.0,28.0,1032.0,791.0,652.0,107.0,732.0,444.0,675.0,358.0,342.0,678.0,503.0,44.0,392.0,45.0,419.0,3.0,1146.0,195.0,441.0,348.0
b4138,4568.0,102.0,5336.0,528.0,5661.0,353.0,5487.0,108.0,3813.0,490.0,4035.0,78.0,6329.0,1092.0,3251.0,449.0,3927.0,831.0,2948.0,70.0,2386.0,56.0,3227.0,13.0,4070.0,146.0,2451.0,448.0
b4529,1172.0,18.0,1825.0,28.0,1182.0,31.0,1882.0,18.0,1839.0,115.0,976.0,10.0,1130.0,107.0,1524.0,61.0,900.0,86.0,1184.0,4.0,1117.0,5.0,1096.0,1.0,301.0,27.0,689.0,88.0
b3061,28.0,3.0,29.0,7.0,79.0,21.0,0.0,1.0,19.0,7.0,47.0,3.0,46.0,10.0,57.0,19.0,39.0,18.0,52.0,5.0,14.0,5.0,10.0,2.0,109.0,7.0,40.0,19.0
b0391,959.0,36.0,1052.0,17.0,1651.0,61.0,1110.0,20.0,719.0,59.0,1161.0,16.0,1493.0,139.0,1322.0,53.0,1435.0,98.0,1496.0,9.0,1439.0,10.0,1237.0,3.0,1058.0,11.0,1285.0,61.0
b3649,4300.0,1093.0,6034.0,2388.0,7856.0,1487.0,5576.0,539.0,5043.0,4834.0,3184.0,312.0,3136.0,2031.0,3003.0,2102.0,2985.0,5092.0,2356.0,226.0,1606.0,204.0,1889.0,16.0,2681.0,641.0,2810.0,2584.0
