,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b0460,4138.0,390.0,7437.0,817.0,4262.0,741.0,7523.0,336.0,4079.0,1523.0,3589.0,237.0,2565.0,1212.0,2543.0,1149.0,2147.0,1124.0,3341.0,153.0,2398.0,191.0,2959.0,9.0,3564.0,502.0,4662.0,1347.0
b3831,8364.0,388.0,5423.0,823.0,7105.0,1291.0,5721.0,173.0,5309.0,1494.0,6280.0,169.0,5296.0,1410.0,5334.0,895.0,5561.0,2170.0,8904.0,94.0,3695.0,68.0,4372.0,13.0,2986.0,399.0,4518.0,1149.0
b0783,1967.0,55.0,2046.0,181.0,2155.0,265.0,1447.0,65.0,2279.0,321.0,1152.0,20.0,1542.0,218.0,673.0,169.0,638.0,478.0,1035.0,24.0,914.0,17.0,306.0,0.0,705.0,47.0,653.0,178.0
b2409,632.0,47.0,524.0,99.0,413.0,45.0,635.0,18.0,358.0,124.0,337.0,17.0,969.0,215.0,305.0,71.0,403.0,135.0,257.0,10.0,137.0,7.0,333.0,5.0,263.0,19.0,216.0,51.0
b3193,737.0,391.0,1539.0,930.0,2326.0,459.0,2211.0,236.0,1094.0,1834.0,2107.0,228.0,1866.0,1218.0,1130.0,742.0,1526.0,1877.0,1343.0,114.0,970.0,84.0,1431.0,8.0,3609.0,229.0,1261.0,832.0
b1795,2938.0,168.0,13898.0,548.0,4618.0,627.0,27804.0,245.0,8941.0,1634.0,6668.0,79.0,13450.0,1143.0,6910.0,314.0,8895.0,1168.0,13622.0,78.0,2968.0,31.0,12773.0,6.0,5778.0,358.0,3635.0,479.0
b3205,2454.0,688.0,4351.0,1639.0,4174.0,1104.0,4312.0,442.0,3810.0,1999.0,3375.0,345.0,3520.0,1106.0,2763.0,1527.0,2606.0,2238.0,3622.0,172.0,2656.0,154.0,2875.0,10.0,5503.0,392.0,2634.0,880.0
b2843,16965.0,20.0,18691.0,25.0,1503.0,35.0,4460.0,4.0,1927.0,50.0,1721.0,14.0,2001.0,78.0,1495.0,48.0,5642.0,79.0,1068.0,17.0,1731.0,11.0,1825.0,3.0,185.0,12.0,1405.0,21.0
b4141,742.0,176.0,1407.0,208.0,651.0,111.0,1206.0,56.0,884.0,248.0,1062.0,45.0,814.0,303.0,902.0,240.0,656.0,214.0,1066.0,39.0,396.0,18.0,958.0,9.0,878.0,90.0,1049.0,236.0
b1131,1210.0,1397.0,1352.0,4189.0,1795.0,2273.0,1414.0,995.0,1882.0,3698.0,1830.0,419.0,1757.0,1200.0,3982.0,2909.0,1815.0,6843.0,805.0,323.0,1102.0,153.0,975.0,12.0,2130.0,880.0,994.0,1943.0
b0789,172.0,9.0,409.0,7.0,128.0,17.0,542.0,7.0,202.0,10.0,172.0,4.0,282.0,17.0,184.0,14.0,208.0,21.0,382.0,8.0,113.0,7.0,193.0,2.0,93.0,6.0,43.0,6.0
b3988,29489.0,18982.0,25483.0,36677.0,28749.0,15832.0,17272.0,7233.0,19821.0,46725.0,31615.0,6571.0,35172.0,33340.0,27491.0,21834.0,25863.0,51593.0,33032.0,3269.0,25111.0,2967.0,33263.0,194.0,19908.0,7188.0,41814.0,23212.0
b3543,598.0,37.0,834.0,50.0,976.0,58.0,1214.0,56.0,1280.0,165.0,872.0,22.0,1198.0,192.0,721.0,66.0,601.0,157.0,674.0,14.0,447.0,6.0,325.0,1.0,3190.0,14.0,595.0,269.0
b1007,9.0,0.0,18.0,0.0,4.0,1.0,16.0,0.0,17.0,0.0,6.0,2.0,13.0,1.0,11.0,2.0,7.0,3.0,15.0,0.0,7.0,0.0,3.0,1.0,39.0,1.0,4.0,1.0
b0838,2400.0,100.0,3760.0,225.0,2824.0,138.0,5645.0,90.0,5119.0,1005.0,2529.0,42.0,3293.0,591.0,2029.0,145.0,2375.0,380.0,2747.0,34.0,1894.0,14.0,2654.0,6.0,3874.0,96.0,1927.0,324.0
b3670,723.0,11.0,834.0,4.0,414.0,2.0,465.0,3.0,54.0,4.0,4984.0,3.0,453.0,24.0,267.0,15.0,706.0,12.0,812.0,5.0,2232.0,3.0,1147.0,1.0,853.0,6.0,2307.0,14.0
b4478,11745.0,9.0,7607.0,13.0,266.0,9.0,2260.0,3.0,4760.0,15.0,4069.0,0.0,645.0,26.0,790.0,2.0,204.0,12.0,567.0,16.0,138.0,6.0,1193.0,1.0,25.0,1.0,519.0,47.0
b1607,194.0,9.0,224.0,5.0,148.0,10.0,250.0,7.0,284.0,46.0,114.0,6.0,119.0,13.0,208.0,9.0,163.0,29.0,203.0,1.0,134.0,1.0,152.0,0.0,201.0,9.0,109.0,9.0
b2545,627.0,50.0,332.0,18.0,221.0,15.0,300.0,15.0,185.0,19.0,168.0,5.0,462.0,93.0,205.0,20.0,171.0,42.0,162.0,8.0,170.0,2.0,214.0,0.0,147.0,7.0,534.0,93.0
b3641,1022.0,322.0,1268.0,737.0,1627.0,433.0,1198.0,137.0,1058.0,794.0,1043.0,129.0,1163.0,618.0,720.0,565.0,640.0,1500.0,579.0,83.0,640.0,66.0,456.0,7.0,815.0,229.0,550.0,400.0
b0624,182.0,32.0,275.0,60.0,249.0,53.0,219.0,14.0,235.0,251.0,134.0,13.0,216.0,54.0,143.0,30.0,190.0,163.0,157.0,6.0,56.0,3.0,128.0,1.0,385.0,36.0,94.0,55.0
b4336,115.0,16.0,428.0,66.0,198.0,33.0,728.0,33.0,342.0,93.0,530.0,12.0,651.0,100.0,390.0,87.0,886.0,313.0,385.0,11.0,210.0,25.0,313.0,1.0,467.0,43.0,201.0,33.0
b3993,27.0,10.0,24.0,29.0,37.0,15.0,40.0,12.0,34.0,6.0,45.0,3.0,38.0,5.0,43.0,19.0,28.0,18.0,60.0,7.0,33.0,4.0,22.0,2.0,69.0,3.0,22.0,7.0
b2080,1331.0,15.0,3575.0,18.0,1064.0,72.0,5727.0,13.0,1596.0,36.0,3571.0,6.0,1991.0,92.0,6108.0,90.0,4249.0,183.0,3610.0,9.0,1043.0,3.0,7080.0,4.0,1273.0,31.0,491.0,46.0
b0715,162.0,18.0,171.0,29.0,159.0,40.0,160.0,7.0,94.0,35.0,64.0,3.0,95.0,11.0,54.0,20.0,75.0,18.0,100.0,7.0,106.0,5.0,98.0,0.0,199.0,4.0,72.0,9.0
b3764,1131.0,83.0,1995.0,320.0,2531.0,120.0,1370.0,39.0,1122.0,734.0,902.0,224.0,849.0,425.0,1097.0,302.0,502.0,537.0,534.0,50.0,545.0,50.0,524.0,4.0,1337.0,228.0,431.0,516.0
b1807,519.0,615.0,977.0,978.0,1049.0,266.0,946.0,255.0,684.0,616.0,857.0,274.0,727.0,806.0,619.0,1070.0,730.0,2129.0,383.0,118.0,484.0,115.0,507.0,10.0,1096.0,421.0,689.0,1327.0
b1019,10086.0,112.0,6657.0,445.0,17769.0,410.0,7430.0,128.0,9542.0,2334.0,21993.0,332.0,19667.0,6720.0,40189.0,1365.0,35242.0,2605.0,17841.0,285.0,20827.0,203.0,15914.0,58.0,6895.0,706.0,11959.0,4660.0
b1736,253.0,21.0,360.0,25.0,341.0,11.0,482.0,18.0,380.0,94.0,321.0,13.0,318.0,61.0,183.0,11.0,293.0,88.0,234.0,6.0,265.0,3.0,231.0,0.0,188.0,8.0,271.0,45.0
b3164,16450.0,10881.0,19552.0,19785.0,27747.0,10959.0,17609.0,3746.0,17983.0,19241.0,22926.0,2686.0,21733.0,14245.0,24101.0,15004.0,23499.0,36019.0,20732.0,1599.0,17472.0,1734.0,19286.0,92.0,14548.0,3717.0,13832.0,8198.0
b3353,618.0,293.0,665.0,607.0,662.0,301.0,899.0,135.0,1012.0,591.0,1113.0,120.0,949.0,487.0,812.0,583.0,792.0,1187.0,527.0,61.0,602.0,65.0,529.0,8.0,973.0,134.0,598.0,487.0
b2699,8495.0,3477.0,8316.0,4644.0,11996.0,1279.0,6751.0,759.0,10609.0,9188.0,5573.0,558.0,13712.0,3543.0,7971.0,2483.0,5036.0,5110.0,6322.0,298.0,6918.0,501.0,4367.0,17.0,8727.0,1288.0,6305.0,2377.0
b1242,423.0,60.0,679.0,168.0,421.0,59.0,629.0,37.0,370.0,401.0,168.0,45.0,210.0,150.0,146.0,118.0,144.0,224.0,189.0,17.0,46.0,19.0,140.0,1.0,254.0,43.0,182.0,135.0
b3784,1750.0,891.0,2136.0,866.0,2760.0,715.0,3645.0,454.0,1942.0,1724.0,1662.0,203.0,1586.0,950.0,1824.0,1849.0,1374.0,2660.0,975.0,121.0,730.0,108.0,1545.0,12.0,3226.0,348.0,2051.0,1409.0
b0074,7729.0,194.0,47333.0,133.0,68265.0,244.0,95435.0,130.0,6133.0,321.0,150757.0,116.0,15283.0,1487.0,7776.0,520.0,151357.0,820.0,6822.0,35.0,116624.0,25.0,64258.0,6.0,25757.0,117.0,168098.0,522.0
b0314,475.0,66.0,696.0,580.0,812.0,76.0,575.0,49.0,1134.0,404.0,1433.0,16.0,2284.0,320.0,4069.0,357.0,1036.0,326.0,3035.0,51.0,1349.0,36.0,1657.0,6.0,5221.0,140.0,912.0,312.0
b0845,621.0,159.0,709.0,204.0,913.0,179.0,747.0,113.0,509.0,197.0,421.0,27.0,484.0,110.0,327.0,248.0,464.0,465.0,359.0,20.0,288.0,21.0,363.0,3.0,519.0,33.0,333.0,75.0
b4143,62698.0,3671.0,45226.0,9076.0,49811.0,11185.0,36294.0,1962.0,51472.0,9399.0,21387.0,1222.0,37370.0,21939.0,29312.0,6820.0,26470.0,16252.0,21995.0,628.0,28396.0,600.0,14471.0,59.0,68705.0,1658.0,8561.0,6752.0
b1709,869.0,95.0,1391.0,223.0,1470.0,151.0,1603.0,64.0,1247.0,453.0,944.0,59.0,757.0,236.0,669.0,149.0,860.0,381.0,600.0,19.0,591.0,24.0,534.0,6.0,941.0,64.0,593.0,248.0
b3401,1604.0,580.0,1889.0,1560.0,1984.0,1254.0,2256.0,466.0,2252.0,2026.0,1121.0,221.0,1335.0,1462.0,1136.0,988.0,900.0,1819.0,814.0,131.0,243.0,37.0,693.0,10.0,2026.0,251.0,525.0,706.0
b2904,6431.0,96.0,5874.0,162.0,4342.0,191.0,4797.0,49.0,4816.0,685.0,5108.0,37.0,3570.0,338.0,6893.0,184.0,3946.0,280.0,6223.0,11.0,4980.0,11.0,3613.0,0.0,543.0,77.0,2276.0,128.0
b0085,4344.0,944.0,5448.0,1914.0,6035.0,1067.0,5255.0,465.0,5756.0,2331.0,4982.0,389.0,4595.0,1127.0,4885.0,1397.0,4842.0,3086.0,4517.0,190.0,5524.0,230.0,4132.0,14.0,4855.0,505.0,3483.0,1412.0
b4261,1224.0,681.0,1688.0,1080.0,2730.0,633.0,1823.0,220.0,1406.0,1415.0,2167.0,377.0,2544.0,1815.0,1094.0,800.0,1630.0,2940.0,2612.0,214.0,903.0,130.0,1745.0,15.0,3408.0,487.0,929.0,635.0
b4137,1268.0,103.0,1671.0,378.0,1731.0,326.0,1893.0,206.0,1853.0,694.0,1120.0,63.0,1560.0,388.0,1151.0,499.0,1007.0,793.0,1438.0,66.0,874.0,42.0,1088.0,1.0,3095.0,115.0,1204.0,317.0
b1662,2127.0,228.0,2949.0,463.0,2931.0,384.0,2999.0,204.0,2910.0,1111.0,2779.0,230.0,3872.0,995.0,3220.0,526.0,2154.0,1189.0,3129.0,82.0,2034.0,68.0,1974.0,10.0,3024.0,324.0,2934.0,721.0
b3727,352.0,300.0,466.0,129.0,690.0,164.0,841.0,29.0,492.0,44.0,466.0,26.0,538.0,232.0,240.0,196.0,193.0,160.0,275.0,18.0,148.0,11.0,175.0,5.0,1562.0,28.0,169.0,252.0
b0630,1096.0,371.0,2553.0,834.0,2346.0,595.0,2200.0,196.0,1382.0,1572.0,1219.0,155.0,742.0,510.0,919.0,569.0,1045.0,1225.0,893.0,92.0,708.0,86.0,924.0,8.0,1241.0,172.0,1354.0,733.0
b3929,3819.0,903.0,6596.0,3178.0,5452.0,1586.0,10054.0,2696.0,8485.0,4968.0,7746.0,1522.0,7295.0,4013.0,11142.0,4026.0,4532.0,3657.0,9455.0,486.0,7126.0,361.0,9513.0,52.0,13663.0,3487.0,11956.0,3702.0
b3580,288.0,20.0,779.0,19.0,570.0,24.0,1212.0,8.0,276.0,17.0,448.0,9.0,130.0,24.0,3641.0,27.0,271.0,36.0,143.0,30.0,171.0,11.0,322.0,14.0,96.0,4.0,151.0,10.0
b2099,238.0,19.0,285.0,60.0,300.0,28.0,305.0,13.0,332.0,57.0,475.0,20.0,225.0,41.0,645.0,130.0,195.0,43.0,233.0,5.0,271.0,6.0,186.0,1.0,132.0,11.0,196.0,35.0
b3856,272.0,7.0,948.0,83.0,693.0,29.0,1215.0,17.0,778.0,225.0,562.0,31.0,501.0,101.0,351.0,65.0,367.0,123.0,605.0,14.0,205.0,11.0,448.0,0.0,611.0,32.0,410.0,68.0
b4207,867.0,513.0,1267.0,1315.0,1760.0,613.0,1223.0,403.0,565.0,383.0,1018.0,155.0,948.0,282.0,1357.0,923.0,820.0,2256.0,711.0,111.0,790.0,154.0,544.0,1.0,2282.0,287.0,623.0,834.0
b0050,458.0,141.0,731.0,283.0,614.0,216.0,725.0,47.0,633.0,441.0,612.0,91.0,599.0,253.0,623.0,316.0,610.0,461.0,671.0,32.0,357.0,19.0,538.0,2.0,724.0,76.0,441.0,159.0
b2805,1498.0,22.0,1866.0,59.0,904.0,67.0,1544.0,15.0,1453.0,137.0,801.0,11.0,891.0,199.0,920.0,62.0,681.0,126.0,710.0,9.0,951.0,8.0,606.0,1.0,812.0,13.0,685.0,72.0
b2577,298.0,40.0,801.0,93.0,574.0,70.0,923.0,14.0,777.0,152.0,493.0,20.0,575.0,140.0,554.0,107.0,357.0,194.0,621.0,7.0,254.0,19.0,441.0,4.0,462.0,39.0,411.0,102.0
b0571,170.0,29.0,304.0,79.0,293.0,72.0,162.0,13.0,234.0,94.0,166.0,10.0,152.0,61.0,157.0,88.0,107.0,132.0,113.0,7.0,66.0,7.0,120.0,1.0,250.0,29.0,100.0,70.0
b2564,4856.0,382.0,4433.0,501.0,2825.0,321.0,2929.0,93.0,4168.0,711.0,2728.0,126.0,4285.0,740.0,2865.0,502.0,2687.0,888.0,2752.0,56.0,2485.0,65.0,1770.0,4.0,2371.0,163.0,1714.0,587.0
b1430,2224.0,696.0,3768.0,1327.0,5162.0,1046.0,2688.0,124.0,4896.0,5576.0,9318.0,102.0,10039.0,2519.0,4595.0,852.0,6225.0,1415.0,7974.0,67.0,2102.0,33.0,2894.0,2.0,4165.0,299.0,7965.0,1071.0
b3441,734.0,102.0,1261.0,44.0,1426.0,128.0,1587.0,30.0,1123.0,192.0,849.0,12.0,2015.0,102.0,521.0,223.0,1270.0,147.0,622.0,19.0,715.0,28.0,459.0,3.0,1586.0,29.0,859.0,44.0
b1136,87533.0,2687.0,66063.0,9330.0,61918.0,2975.0,52500.0,1194.0,72052.0,26490.0,60558.0,680.0,69345.0,11108.0,110756.0,6225.0,71365.0,8970.0,115632.0,434.0,101969.0,897.0,48070.0,66.0,90055.0,2432.0,36687.0,4907.0
b1830,4232.0,2844.0,7955.0,3322.0,10039.0,2492.0,9941.0,810.0,10341.0,8938.0,9317.0,1025.0,7087.0,6267.0,7553.0,4074.0,5101.0,7269.0,5663.0,440.0,3241.0,230.0,5533.0,32.0,14389.0,959.0,5049.0,4072.0
b0877,1162.0,200.0,2666.0,1688.0,2754.0,1766.0,1019.0,107.0,2003.0,3091.0,1578.0,99.0,2660.0,1885.0,2157.0,1129.0,1654.0,3112.0,2415.0,200.0,1160.0,55.0,2061.0,13.0,5049.0,350.0,2136.0,1474.0
b3181,1891.0,608.0,1945.0,842.0,2435.0,337.0,1438.0,247.0,1307.0,1269.0,902.0,262.0,972.0,953.0,900.0,695.0,770.0,2591.0,742.0,111.0,681.0,103.0,728.0,1.0,629.0,359.0,711.0,1008.0
b3726,340.0,590.0,321.0,233.0,459.0,206.0,486.0,44.0,478.0,175.0,917.0,92.0,766.0,461.0,483.0,290.0,426.0,391.0,473.0,18.0,316.0,32.0,159.0,4.0,1692.0,90.0,202.0,408.0
b1750,89.0,16.0,118.0,62.0,90.0,34.0,62.0,48.0,61.0,54.0,57.0,6.0,55.0,41.0,37.0,38.0,55.0,62.0,34.0,11.0,23.0,8.0,49.0,6.0,140.0,9.0,46.0,25.0
b0924,5276.0,1813.0,8084.0,5417.0,9228.0,3174.0,6605.0,1631.0,7801.0,6171.0,10577.0,1160.0,10300.0,3503.0,13539.0,5709.0,12372.0,10986.0,9751.0,549.0,6462.0,359.0,9445.0,40.0,13035.0,1607.0,7587.0,3842.0
b0589,655.0,15.0,816.0,70.0,1207.0,222.0,773.0,71.0,984.0,43.0,748.0,54.0,712.0,360.0,602.0,63.0,1042.0,475.0,616.0,16.0,221.0,8.0,966.0,6.0,533.0,32.0,561.0,152.0
b1135,910.0,679.0,1346.0,758.0,1582.0,990.0,961.0,167.0,888.0,930.0,873.0,180.0,1109.0,369.0,1048.0,1307.0,972.0,2419.0,771.0,126.0,524.0,35.0,860.0,7.0,2033.0,336.0,819.0,639.0
b0223,1639.0,107.0,1475.0,186.0,1097.0,120.0,1285.0,33.0,1266.0,260.0,602.0,37.0,830.0,170.0,898.0,241.0,714.0,309.0,821.0,18.0,211.0,7.0,561.0,2.0,599.0,31.0,856.0,195.0
b2235,4945.0,2820.0,4903.0,5760.0,6267.0,2887.0,7144.0,2271.0,10191.0,5787.0,8216.0,781.0,8930.0,3167.0,11299.0,3128.0,8746.0,9749.0,7056.0,512.0,10057.0,555.0,4351.0,19.0,3162.0,1208.0,4513.0,2748.0
b2311,397.0,127.0,982.0,208.0,1111.0,261.0,1206.0,77.0,737.0,360.0,514.0,31.0,645.0,262.0,605.0,352.0,325.0,425.0,441.0,27.0,384.0,31.0,451.0,3.0,1156.0,47.0,75.0,63.0
b4187,543.0,22.0,1594.0,48.0,793.0,48.0,2035.0,22.0,1050.0,66.0,828.0,13.0,1146.0,115.0,646.0,45.0,1605.0,158.0,1733.0,18.0,789.0,13.0,850.0,3.0,252.0,26.0,335.0,60.0
b2948,997.0,261.0,1834.0,696.0,1087.0,525.0,2447.0,258.0,1437.0,770.0,1635.0,134.0,1387.0,640.0,1268.0,712.0,1197.0,1358.0,1116.0,82.0,761.0,72.0,1231.0,9.0,2801.0,192.0,1325.0,571.0
b0097,3019.0,982.0,4539.0,1809.0,6272.0,3023.0,5864.0,777.0,5394.0,2386.0,3866.0,516.0,4659.0,2805.0,3332.0,1531.0,2704.0,3389.0,3036.0,249.0,3560.0,237.0,3922.0,26.0,7620.0,679.0,4030.0,1999.0
b2597,85406.0,2142.0,116712.0,337.0,77001.0,5154.0,101780.0,899.0,124270.0,1128.0,49721.0,245.0,29635.0,12642.0,61311.0,1439.0,55819.0,2433.0,57837.0,77.0,71531.0,75.0,51549.0,10.0,36654.0,589.0,55889.0,1525.0
b2557,1488.0,1790.0,3187.0,3978.0,3320.0,2649.0,2904.0,462.0,2931.0,2787.0,2770.0,354.0,2315.0,1298.0,2902.0,3160.0,1845.0,3571.0,1322.0,416.0,839.0,148.0,902.0,7.0,1606.0,712.0,1521.0,1999.0
b2410,372.0,39.0,839.0,131.0,1279.0,105.0,990.0,18.0,764.0,555.0,828.0,49.0,2117.0,445.0,735.0,137.0,805.0,346.0,608.0,23.0,487.0,19.0,582.0,3.0,636.0,36.0,710.0,159.0
b3316,4541.0,10125.0,3349.0,25748.0,4937.0,9124.0,2029.0,4290.0,3323.0,34695.0,8097.0,4082.0,9297.0,17847.0,8636.0,12989.0,10274.0,42420.0,6203.0,1896.0,5575.0,1387.0,7665.0,108.0,6731.0,4527.0,9220.0,11296.0
b2023,865.0,162.0,769.0,105.0,659.0,94.0,568.0,33.0,813.0,145.0,959.0,19.0,742.0,206.0,1513.0,215.0,695.0,301.0,624.0,14.0,575.0,8.0,613.0,0.0,2646.0,25.0,1228.0,417.0
b2288,8702.0,1020.0,9232.0,4174.0,12028.0,1810.0,10472.0,644.0,12189.0,9564.0,6292.0,410.0,16885.0,2572.0,9195.0,3982.0,5232.0,4205.0,9811.0,353.0,5622.0,328.0,4655.0,19.0,12107.0,1267.0,4668.0,2828.0
b2105,287.0,184.0,642.0,243.0,322.0,90.0,700.0,27.0,367.0,280.0,227.0,22.0,279.0,73.0,200.0,70.0,234.0,186.0,254.0,24.0,175.0,11.0,240.0,2.0,335.0,66.0,187.0,89.0
b3869,813.0,261.0,561.0,393.0,3659.0,542.0,737.0,87.0,682.0,260.0,276.0,111.0,923.0,204.0,390.0,545.0,621.0,772.0,638.0,68.0,206.0,16.0,438.0,2.0,1214.0,140.0,661.0,524.0
b3395,104.0,6.0,106.0,7.0,56.0,4.0,117.0,3.0,110.0,12.0,61.0,3.0,66.0,7.0,65.0,8.0,41.0,9.0,50.0,2.0,67.0,5.0,36.0,2.0,55.0,9.0,49.0,6.0
b3269,152.0,8.0,249.0,10.0,145.0,18.0,203.0,5.0,132.0,11.0,76.0,9.0,89.0,24.0,95.0,16.0,101.0,17.0,125.0,9.0,60.0,11.0,100.0,1.0,110.0,11.0,71.0,23.0
b1622,1248.0,31.0,1326.0,109.0,1080.0,64.0,1169.0,18.0,1135.0,166.0,936.0,14.0,1149.0,193.0,768.0,71.0,737.0,171.0,998.0,12.0,455.0,2.0,605.0,3.0,981.0,20.0,899.0,115.0
b0524,496.0,196.0,698.0,242.0,786.0,245.0,654.0,104.0,495.0,311.0,299.0,62.0,201.0,157.0,273.0,433.0,198.0,721.0,246.0,40.0,169.0,47.0,246.0,1.0,400.0,109.0,216.0,225.0
b0242,3149.0,297.0,3648.0,487.0,5804.0,577.0,4278.0,156.0,3332.0,846.0,4440.0,265.0,2142.0,561.0,2313.0,648.0,2537.0,1577.0,2434.0,81.0,1333.0,70.0,2555.0,11.0,4291.0,262.0,1971.0,747.0
b2817,871.0,274.0,2080.0,468.0,3078.0,727.0,2376.0,133.0,1953.0,592.0,1067.0,111.0,939.0,361.0,1145.0,697.0,1245.0,1461.0,790.0,88.0,372.0,43.0,908.0,2.0,2472.0,276.0,867.0,593.0
b2399,406.0,25.0,424.0,25.0,327.0,59.0,440.0,22.0,389.0,80.0,548.0,23.0,211.0,47.0,626.0,102.0,438.0,122.0,510.0,10.0,196.0,2.0,413.0,0.0,429.0,34.0,525.0,86.0
b3168,11106.0,14959.0,11368.0,27930.0,15648.0,13824.0,10396.0,6505.0,11755.0,37284.0,21585.0,4874.0,24855.0,21020.0,20874.0,19699.0,22971.0,47696.0,18172.0,2305.0,12299.0,2223.0,15895.0,171.0,18664.0,6395.0,13789.0,14289.0
b3893,6302.0,851.0,3864.0,1722.0,2333.0,299.0,1743.0,268.0,4452.0,7084.0,2827.0,171.0,7121.0,1082.0,6457.0,1830.0,3373.0,1872.0,5724.0,126.0,3347.0,214.0,2966.0,5.0,2425.0,382.0,2462.0,1052.0
b2480,3759.0,424.0,7010.0,705.0,6354.0,411.0,8523.0,169.0,5978.0,1767.0,4906.0,210.0,5247.0,1296.0,4120.0,756.0,3355.0,1460.0,2775.0,83.0,2806.0,77.0,2655.0,7.0,8553.0,311.0,3797.0,1622.0
b0381,1969.0,452.0,4019.0,1076.0,6042.0,1022.0,4577.0,334.0,3534.0,2187.0,4393.0,389.0,3717.0,1857.0,4390.0,1865.0,4628.0,4275.0,2784.0,216.0,2172.0,120.0,3503.0,18.0,3287.0,572.0,3482.0,1753.0
b0115,27562.0,20093.0,15021.0,29937.0,15981.0,12539.0,9853.0,4700.0,15536.0,49060.0,31671.0,2181.0,37180.0,8898.0,27054.0,16070.0,34829.0,51256.0,34301.0,1812.0,18383.0,1478.0,23321.0,59.0,23748.0,4093.0,31660.0,6481.0
b0310,50.0,5.0,64.0,13.0,81.0,11.0,155.0,13.0,34.0,20.0,57.0,4.0,169.0,21.0,31.0,2.0,37.0,27.0,214.0,13.0,91.0,3.0,104.0,1.0,79.0,5.0,16.0,5.0
b1970,344.0,161.0,378.0,43.0,430.0,2454.0,221.0,50.0,946.0,183.0,695.0,97.0,473.0,3900.0,397.0,168.0,498.0,337.0,1840.0,34.0,363.0,23.0,373.0,4.0,358.0,261.0,243.0,45.0
b2673,2006.0,6.0,3692.0,53.0,4456.0,83.0,6323.0,114.0,6755.0,25.0,1677.0,17.0,881.0,641.0,3798.0,46.0,2636.0,226.0,1476.0,9.0,2107.0,5.0,2084.0,1.0,45.0,26.0,2021.0,403.0
b3241,1941.0,1024.0,3942.0,668.0,3380.0,4147.0,4192.0,62.0,2714.0,6301.0,4943.0,552.0,1580.0,416.0,1890.0,2060.0,2229.0,496.0,2556.0,348.0,561.0,82.0,1690.0,19.0,873.0,717.0,2235.0,129.0
b4220,1693.0,374.0,2678.0,826.0,1940.0,474.0,2337.0,155.0,1712.0,693.0,1690.0,95.0,2932.0,869.0,1118.0,410.0,1664.0,1583.0,2077.0,71.0,1149.0,74.0,1833.0,15.0,2007.0,183.0,1272.0,614.0
b0020,498.0,164.0,1324.0,307.0,1023.0,155.0,2034.0,244.0,1158.0,314.0,1149.0,80.0,1038.0,425.0,1278.0,261.0,783.0,922.0,862.0,63.0,354.0,27.0,556.0,6.0,469.0,128.0,578.0,369.0
b3102,567.0,69.0,1541.0,190.0,520.0,82.0,1561.0,47.0,771.0,169.0,715.0,20.0,747.0,312.0,517.0,99.0,626.0,149.0,1184.0,13.0,382.0,12.0,296.0,2.0,239.0,34.0,178.0,46.0
b1672,145.0,6.0,299.0,9.0,214.0,17.0,341.0,6.0,176.0,27.0,254.0,6.0,185.0,35.0,218.0,21.0,188.0,41.0,192.0,3.0,64.0,4.0,181.0,3.0,142.0,3.0,145.0,23.0
b3540,1217.0,75.0,843.0,70.0,1250.0,104.0,659.0,68.0,938.0,158.0,2003.0,60.0,4135.0,582.0,3082.0,213.0,1802.0,231.0,1550.0,26.0,1692.0,12.0,1271.0,8.0,3693.0,30.0,1219.0,804.0
b4255,7937.0,3153.0,11803.0,5936.0,15173.0,2055.0,15924.0,2175.0,13307.0,16270.0,10882.0,1106.0,9979.0,4695.0,17467.0,6701.0,14817.0,11450.0,10751.0,590.0,7569.0,515.0,9492.0,47.0,9432.0,1798.0,9423.0,5151.0
b2417,9105.0,2074.0,12973.0,3581.0,13947.0,2493.0,12662.0,1113.0,10786.0,9280.0,13557.0,1488.0,18339.0,9675.0,12263.0,4615.0,16507.0,12335.0,17873.0,608.0,7042.0,276.0,13202.0,66.0,23109.0,2893.0,10351.0,7959.0
b0148,1625.0,506.0,1232.0,596.0,2556.0,585.0,2030.0,219.0,1579.0,911.0,2099.0,208.0,1997.0,572.0,1882.0,951.0,1848.0,1634.0,1885.0,86.0,908.0,74.0,1291.0,9.0,2265.0,245.0,1682.0,793.0
b0109,1258.0,117.0,1999.0,298.0,1897.0,214.0,1756.0,61.0,1727.0,552.0,1648.0,76.0,1692.0,405.0,1248.0,286.0,1207.0,477.0,1365.0,34.0,1080.0,19.0,1048.0,4.0,2234.0,100.0,1575.0,325.0
b3403,29007.0,621.0,21120.0,3202.0,11870.0,962.0,18016.0,634.0,23281.0,3178.0,8662.0,229.0,10634.0,2477.0,26587.0,1394.0,10800.0,3037.0,11733.0,191.0,18012.0,246.0,10739.0,18.0,2458.0,443.0,10565.0,1850.0
