Core #,Sample #
56068,UR01
56069,UR03
56070,UR06
56071,UR07
56072,UR14
56073,UR17
56074,UR43
56075,UR54
56076,UR56
56077,UR57
56078,UR60
56079,UR66
56080,UR68
56081,UR86
56082,UTI01
56083,UTI03
56084,UTI06
56085,UTI07
56086,UTI14
56087,UTI17
56088,UTI43
56089,UTI54
56090,UTI56
56091,UTI57
56092,UTI60
56093,UTI66
56094,UTI68
56095,UTI86
