"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","bnum"
"1201_rnfD_1",140.273831228438,2.96288657096951,0.590635102157392,3.3233489912803,0.00088943564116205,0.00939466395977415,"rnfD","b1630"
"1202_rnfD_2",419.4892495523,2.77124118340382,0.538317399709951,3.29032868779308,0.00100070415210682,0.00994817657094429,"rnfD","b1630"
"12097_hypothetical_protein",46.6529918469923,3.78744885340196,0.383578931663111,7.26694983302711,3.67695278480042e-13,3.4379508537884e-11,"yjaA","b1316"
"12617_yhjE_2",602.362624140961,-3.24862559545005,0.700791795308074,-3.20869281076776,0.00133339871472763,0.0417798263947991,"yhjE","b3523"
"12650_hypothetical_protein",10.3953456517181,3.07954222911584,0.604773293659524,3.43854837989355,0.000584842023382601,0.0219900600791858,NA,"b0026"
"14257_esaR",534.138310998075,-3.58467433038569,0.638122670624564,-4.05043489186168,5.11225327764414e-05,0.00316307600000256,NA,"b0026"
"14267_D-alanine--poly-phosphoribitol-_ligase_subunit_2",143.466066009362,-3.96850575203187,0.744800934817193,-3.98563644762406,6.72994893617566e-05,0.00316307600000256,NA,"b0026"
"14827_ppsR",380.023483578085,-2.00346352430931,0.369145210870885,-2.71834360776873,0.00656096639779148,0.0409876103053041,"ydiA","b1703"
"14840_rpmI",13784.6951564805,1.50548339547621,0.180295145650584,2.80364395642604,0.0050528669609751,0.0326673724453739,"rpmI","b1717"
"14847_hypothetical_protein",942.320422503275,-2.27937402127433,0.310307884759759,-4.12291818580382,3.74102599429321e-05,0.000520002613206756,"ydiZ","b1316"
"14884_gdhA",1659.02629636152,-1.98809566056226,0.28360683600914,-3.48403329929049,0.000493918032391159,0.00499306229108153,"gdhA","b1761"
"14919_rnd",945.930910166796,2.24962393631997,0.306805150133766,4.07302138107896,4.64071622612545e-05,0.000611259289625246,"rnd","b1804"
"14920_fadD",1090.91908467864,3.31024056288553,0.641954103230204,3.59876282628429,0.000319734614582691,0.00415654998957499,"fadD","b1805"
"14922_tsaB",703.126911598551,2.42387459134296,0.255669635562232,5.56919709378777,2.55915870509916e-08,6.07561987618982e-07,"yeaZ","b1807"
"14952_rsmF",776.869487052253,2.03201814280509,0.358978503455898,2.87487449212089,0.00404188129869945,0.0279617174952055,"yebU","b1835"
"15081_hypothetical_protein",52.9895569547284,-2.9033384169655,0.547651581511675,-3.47545498127065,0.000509987582843722,0.00503782963515897,"yodD","b1316"
"15132_dacD",741.786224077221,3.11467925674728,0.613985737942053,3.44418302587162,0.000572787817441428,0.00522082010651531,"dacD","b2010"
"15185_dnaK_1",650.975056629078,4.05458646288669,0.334795591128911,9.12373562801949,7.2578471451635e-20,6.72560502118485e-18,"yegD","b0014"
"15280_mglC",186.752009651964,-3.55816492561739,0.544345932231246,-4.69952060655915,2.60772909792522e-06,4.99964613257387e-05,"mglC","b2148"
"15300_lacC",342.740000745035,3.43073563036338,0.341589030837768,7.11596512452945,1.1113239623486e-12,4.41354373618443e-11,"fruK","b2168"
"15363_glpT",728.909230295998,-2.49853808055191,0.451873162832608,-3.31628032777646,0.000912242732860868,0.00777011082700558,"glpT","b2240"
"15428_purF",868.560960356473,2.05961464031411,0.305182692355428,3.47206662388324,0.00051646814605047,0.00503782963515897,"purF","b2312"
"15440_mnmC",1004.8803070504,2.29926902446997,0.42546786999408,3.05374181248528,0.00226006497042656,0.0190975490001044,"mnmC",NA
"1547_intA_1",475.441907670494,2.25878248795007,0.377449191745376,3.33497200544871,0.000853079869038563,0.0319051871020423,"int","b0006"
"1550_Putative_multidrug_export_ATP-binding-permease_protein",1073.48462825765,3.55731635252627,0.824605458501457,3.10126051939268,0.00192698672123091,0.0475323391236958,"ybtQ",NA
"1551_irtA",1158.90526193958,3.21426116202644,0.763755804722221,2.89917424959116,0.00374146899177505,0.0287412845277265,"ybtP",NA
"1552_pchR",1311.54617669388,-2.93188915223854,0.428936573209299,-4.50390401029263,6.67163504934209e-06,9.73273818962847e-05,"ybtA",NA
"1557_srfAD",306.005173844187,4.33390027702308,0.745837158169223,4.47001096755045,7.82155863063942e-06,0.000146871489842007,"irp",NA
"1560_hypothetical_protein",43.4968109120546,2.90458940741715,0.553254988318013,3.44251646642613,0.000576328776937738,0.0269433703218392,NA,"b0026"
"15689_yphA",54.7809197378404,-2.99503520546366,0.476027472257661,-4.19100854831295,2.7771719526626e-05,0.000417326379913623,"yphA","b2543"
"15703_purL",1913.88340979119,2.12428749108998,0.344400213602443,3.26447965676291,0.00109665337936181,0.00896675410184069,"purL","b2557"
"15708_yfhL",432.875979888424,2.93847414782057,0.365346581028722,5.30584997500817,1.12149170047669e-07,2.3177495143185e-06,"yfhL","b2562"
"15729_DTW_domain_protein",330.709882453651,2.09607674676014,0.344533820192891,3.18133281123602,0.00146599111294668,0.0110147440378156,"yfiP","b2583"
"15785_proV",2989.87555243345,3.45782182422802,0.548689766671575,4.47943806048634,7.48398026497818e-06,0.000126093728100844,"proV","b2677"
"15807_srlD",2037.93213568711,-3.71302777459637,0.664647405374466,-4.08190531198695,4.46679961210355e-05,0.000605741605934043,"srlD","b2705"
"15839_garR_1",3023.63998351277,-6.65507284624011,0.574582504452144,-9.84205540966155,7.41796026024532e-23,1.42152610179327e-20,"ygbJ","b2736"
"15840_hypothetical_protein",6176.45839354531,-6.31736632796933,0.540454564002871,-9.83869261568691,7.67010486579102e-23,1.42152610179327e-20,"ygbK","b1316"
"15841_fucA_1",3158.98414386757,-6.55713979209434,0.55381512654207,-10.0342867606239,1.07735182097134e-23,5.99007612460063e-21,"ygbL","b2738"
"15842_ygbM",4232.87078117878,-6.67565161752209,0.589798730793494,-9.62303124980665,6.39191839898232e-22,8.88476657458543e-20,"ygbM","b2739"
"15843_ygbN",1805.56457569262,-5.61866672989274,0.602504003537943,-7.66578595788846,1.77739389086506e-14,8.98391821200884e-13,"ygbN","b4296"
"15915_tcdA",607.214953780924,2.33709533887937,0.322396050104112,4.14736886028096,3.36317991140594e-05,0.000479468725831206,"ygdL","b2812"
"15918_argA",2360.32042655934,-2.91466903394244,0.433586495867705,-4.41588714637146,1.00596560116163e-05,0.00016450496301349,"argA","b2818"
"15947_yqeG",688.126379013763,3.57134860508744,0.432912894424307,5.93964429843756,2.85641158920967e-09,7.21893110727535e-08,"yqeG","b2845"
"15997_ndhF",109.219837095806,-2.81881339909346,0.432354264011525,-4.2067664193199,2.59050647870767e-05,0.00040008933393374,"xdhB","b2867"
"16106_epsM",114.609869575125,3.64497728695567,0.418382144539462,6.32191722681463,2.58337759586343e-10,7.55977864894772e-09,"yghD","b3334"
"16107_epsL",196.181696056515,4.30975517134781,0.393767121104555,8.40536193591692,4.26544080041068e-17,3.38797869289763e-15,"gspL","b3333"
"16203_dnaG",7689.77560564145,2.81385509363878,0.572757620360734,3.16688076973358,0.00154083478951404,0.0411623008055893,"dnaG","b3066"
"16216_ygjK",574.819851087311,-3.13697763602471,0.467783049163376,-4.56830926183979,4.91674211181458e-06,8.54283941927783e-05,"ygjK","b3080"
"16273_agaS",1333.50799183801,-5.96038637705893,0.644104326905184,-7.70121573455774,1.34777721279197e-14,7.49364130312338e-13,"agaS","b3136"
"16276_agaC_3",118.298856470143,-5.64323695428771,0.61562514762971,-7.54231202569481,4.61711376793943e-14,1.97470404228794e-12,"agaC","b3139"
"16353_nanK_2",1938.13393961042,-5.66252978080023,0.567120215043174,-8.22141348011247,2.01118570527589e-16,1.39777406516674e-14,"nanK","b3222"
"16355_nanT_1",3700.64103565165,-5.18652083784967,0.575617164407171,-7.27309937354173,3.51331668482112e-13,2.96875259867385e-11,"nanT","b3224"
"16384_accB",8402.24479511386,2.475191608955,0.355214418358629,4.15296095178666,3.28200759594802e-05,0.000479468725831206,"accB","b3255"
"16387_panF",560.781227853952,2.49779001274073,0.305768014304455,4.89845223395204,9.65945133283864e-07,1.98913145965122e-05,"panF","b3258"
"16423_preprotein_translocase_subunit_SecY",130214.748871966,4.40816188394604,0.606405570379719,5.62026810177867,1.90661352895995e-08,6.44435372788464e-07,"secY","b3300"
"16427_rplR",8794.65722400245,2.46369376392357,0.404315279147334,3.62017920027749,0.000294399051788968,0.00327371745589332,"rplR","b3304"
