"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11","UR12","UTI12"
"17871_yagU",13453,96,21592,664,5321,35,22707,22,17980,471,4668,355,8082,597,7992,945,2874,9,8524,6,335,62,4829,503
"17875_hypothetical_protein",182,8,448,97,320,36,177,4,539,80,424,29,171,22,769,895,220,5,387,1,560,3,38,8
"17885_rob_2",412,30,1565,120,161,5,1004,3,643,112,293,25,116,30,129,45,163,5,135,6,661,7,202,29
"17891_lutB",3072,189,2170,293,1689,109,993,12,3170,5021,3800,114,676,72,939,467,1088,8,733,4,1190,27,710,142
"17900_betA",1669,95,1443,1084,1894,85,1096,39,1609,608,4032,32,9562,488,2970,771,7271,12,3144,5,6747,108,3068,673
"17905_yahA_1",786,287,1177,172,15397,55,1534,638,1610,66,1172,682,284,77,1003,11919,776,176,878,21,2207,29,484,5078
"17912_arcC2",41,6,80,10,87,7,48,0,52,2,74,7,46,0,72,27,88,21,73,3,50,1,145,25
"17921_rhtC_2",835,21,210,17,1050,0,717,32,524,1,183,42,561,12,414,18,412,3,1018,4,72,1,273,6
"17924_prpB",24,2,24,2,35,5,48,0,124,6,43,1,123,2,19,6,70,19,109,0,5,3,34,0
"17925_prpC",109,12,47,12,31,8,23,3,91,5,125,5,34,18,59,13,131,1,18,3,25,2,36,5
"17927_acsA",93,9,192,14,71,2,251,2,212,25,89,5,79,4,79,21,47,23,150,6,81,2,25,2
"17935_lacY_2",18133,2,22605,6,26745,12,20751,10,8875,2,2702,23,10733,3,6661,29,835,1,6629,3,93,1,7173,28
"17955_ssuC_1",27,0,39,2,40,1,35,0,28,2,19,1,38,2,33,20,29,1,12,2,51,3,13,2
"17959_putative_DNA-binding_transcriptional_regulator",8,0,66,3,34,0,46,0,23,0,20,0,13,1,20,7,16,2,13,1,27,0,10,1
"17967_phoA",1348,65,1983,67,1983,53,3411,6,688,26,1305,42,897,68,634,130,1792,328,516,3,1753,8,1413,17
"17978_ydhP_1",779,120,962,149,964,36,1297,16,686,278,833,62,833,76,942,276,986,17,1343,5,1817,18,794,214
"17983_brnQ",3999,644,6259,1245,5508,273,4077,89,3714,2926,4709,458,2521,1622,3302,3240,3481,49,3806,19,6605,136,4585,1886
"17987_queA",1639,2312,1775,4369,3094,764,1249,376,727,2750,870,535,578,535,516,2119,300,4700,427,95,1051,255,766,2033
"17994_yajI",492,103,361,40,363,26,476,8,371,86,39,6,476,41,380,80,388,158,209,1,1310,6,207,73
"17998_nusB",1590,732,2798,1547,3188,196,2971,132,2706,2581,2276,381,2791,1519,1911,3044,1849,48,2232,13,1851,162,1691,1522
"17999_thiL",452,459,838,1104,1136,140,1710,59,688,913,482,149,339,216,351,706,329,32,407,13,922,68,435,685
"18001_gpr_2",2107,114,1204,56,932,55,2720,41,1706,333,2521,83,1933,187,1273,226,3147,12,1751,3,701,10,534,103
"18002_dxs",1669,1229,1956,1389,2874,97,2801,1635,2380,258,2898,414,2282,1702,1897,2955,1612,63,1551,7,4497,132,1636,1264
"18005_thiI",1080,1413,2116,2543,3472,394,1935,133,1748,4339,1560,498,930,496,1155,1742,715,4001,597,93,808,20,1280,201
"18025_lon_1",17098,3943,16931,5556,18223,1716,16262,387,18977,8887,15285,1170,19750,3790,15520,5888,12398,10969,13193,172,29549,483,9569,5165
"18030_queC",455,56,800,153,594,15,720,14,816,319,630,58,695,51,533,131,313,307,570,6,673,22,470,185
"18033_lrp_1",617,127,1372,410,1436,57,1024,737,525,52,509,76,564,380,646,496,739,15,676,4,694,38,502,151
"18036_glnK",42,4,39,4,318,8,16,3,15,16,17,1,44,3,29,33,43,1,41,0,667,5,36,34
"18042_yjcC_2",944,59,1798,239,932,52,1966,734,524,18,625,29,566,50,675,194,891,10,517,3,1260,24,602,227
"18048_acrA",3583,2377,5069,3859,4093,640,5151,217,3695,2955,4680,912,2752,2678,2790,7441,6681,139,2765,13,6647,222,2960,2077
"18049_acrR",642,274,1101,316,551,78,1139,44,440,347,405,70,466,152,378,472,300,869,357,6,1210,46,434,268
"18053_ybaN",1151,66,2659,187,2927,102,2517,286,2283,160,1215,176,2286,372,1986,764,2221,12,1946,4,1357,43,2099,563
"18064_ybaL",3108,290,6514,1266,5471,171,7501,128,3297,894,3613,384,2635,798,3063,3694,2043,43,2474,6,923,82,2789,1220
"18065_fsr",1969,84,2911,182,2338,47,2590,442,2656,13,3176,74,1263,161,924,149,2342,9,3253,3,2341,8,2970,170
"18070_copA",1531,567,2142,829,1574,214,1824,28,1595,558,1806,84,1018,783,1541,599,3911,21,1317,2,2648,35,853,185
"18077_ybbL",826,43,1595,153,1092,20,1010,16,753,293,803,66,606,65,762,325,618,7,918,2,652,19,514,100
"18093_allR",2945,239,5471,680,4371,118,5792,51,4448,1091,3315,127,3315,297,2789,361,3024,871,2644,12,2767,8,4350,53
"18094_gcl",90,13,82,4,53,4,67,1,70,9,77,1,96,5,163,34,96,4,106,3,275,5,38,7
"18095_hyi",22,5,51,4,31,0,48,24,47,4,40,6,54,17,17,10,46,3,19,0,144,2,29,9
"18099_ybbY",69,4,158,9,47,1,82,18,55,2,91,6,57,3,45,6,60,1,70,2,38,0,39,7
"18100_glxK",93,7,481,34,97,6,316,1,187,12,129,3,81,3,120,26,94,1,115,3,19,1,27,15
"18104_membrane_protein_FdrA",28,2,54,7,62,0,54,3,71,13,32,1,213,89,44,17,23,0,20,0,36,1,13,4
"18127_bacteriophage_N4_adsorption_protein_B",326,27,623,91,437,21,598,179,139,12,306,28,229,123,176,313,141,4,179,4,320,11,82,25
"18131_cusR",170,29,304,79,293,25,234,94,166,10,152,15,157,88,107,132,113,2,120,1,250,11,100,70
"18148_entF",57917,1537,36802,492,47423,541,51749,296,48652,664,22393,2797,39868,613,48670,5333,42905,123,46088,81,5956,150,38817,4385
"18155_entC",14687,189,12933,428,19134,335,8745,141,15379,119,11902,280,2568,573,9341,316,8379,2742,5446,60,5833,33,5261,1802
"18162_gldA_2",11526,18,7422,93,9136,68,2912,5,15427,439,15773,18,31347,74,13815,42,15687,140,33334,4,4764,1,156,8
"18167_dsbG",1090,639,2198,1132,1992,275,1707,3426,1176,124,1526,249,890,566,1414,1700,1179,32,857,10,1227,83,1033,774
"18178_citF",1719,9,2180,21,3264,16,1108,1,875,34,3524,78,819,18,2007,55,572,0,734,4,169,7,762,4
"18182_dpiB",1797,111,4302,421,3049,119,2963,18,1746,507,2377,160,2038,217,1305,434,1468,692,1358,18,1765,49,1554,254
"18184_dcuD_2",313,5,872,21,278,9,336,2,403,16,333,9,104,14,163,65,134,3,205,2,85,0,231,17
"18185_pagP",99,17,279,15,215,5,170,40,142,7,177,13,64,26,185,67,150,4,271,0,187,5,136,24
"18192_lipB",1096,371,2553,834,2346,188,1382,1572,1219,155,742,161,919,569,1045,1225,893,21,924,8,1241,56,1354,733
"18195_rlpA",2460,591,2714,1018,2286,295,2380,1387,1761,226,2596,192,2136,719,2828,1921,1998,22,1382,3,3445,80,1526,722
"18201_nadD",849,495,1000,727,1265,275,1179,62,819,1354,1588,225,1265,878,932,1210,1368,46,943,3,1916,71,1078,767
"18204_leuS",9097,3482,14201,7113,16288,1492,15867,539,14763,12719,16460,1362,15113,2056,12252,6278,11152,11132,11358,201,8976,50,12503,476
"18238_ybfF",877,208,2003,546,1483,156,2511,92,1641,819,1253,140,1345,494,925,795,1130,21,1006,6,1520,59,1148,364
"18247_kdpD",995,58,1930,192,923,62,2167,21,1620,268,1170,52,930,232,784,353,1083,13,895,8,1762,37,637,215
"18259_phrB",347,44,1211,78,726,28,1521,11,654,110,300,15,446,31,340,53,557,182,366,2,191,10,171,69
"18265_nei",1160,77,2571,347,1391,57,2984,38,1980,516,1026,107,1224,235,1287,352,976,10,1000,3,1185,15,1256,272
"18273_sdhC",1649,27,1364,200,1796,16,1600,13,4808,1078,1526,13,8736,151,1579,91,4913,2,1571,1,2407,12,928,184
"18309_modA",2650,296,2216,532,3155,170,2055,29,1461,91,4009,339,2363,529,1876,1347,1978,27,1680,3,2314,54,1572,657
"18316_ybhI",28,0,35,0,35,0,41,1,19,1,20,0,20,3,11,4,12,4,21,0,7,2,7,0
"18320_bioA",79,555,76,1167,65,86,3,0,38,38,64,91,58,17,54,1523,34,119,57,48,0,0,34,374
"18325_uvrB",4689,714,6822,2328,7231,392,8977,144,7987,2768,6304,483,4516,2338,5204,2949,6581,78,4494,15,0,0,5294,1375
"18328_moaB",3260,250,3103,128,2150,22,2943,297,1437,21,2526,137,1158,263,984,617,1786,10,558,1,1060,11,1156,297
"18335_Inhibitor_of_apoptosis-promoting_Bax1",142,11,100,4,208,2,56,15,129,4,99,13,44,11,20,20,65,4,82,1,92,5,58,12
