"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11","UR12","UTI12"
"18912_cybB",2198,217,4262,569,3048,88,5603,43,4030,953,1581,79,2359,173,1271,420,1433,744,1212,14,1323,6,957,305
"18934_potF_2",364,11,772,17,331,17,728,4,405,46,264,8,319,13,462,35,320,49,624,0,379,1,184,2
"18935_potA_3",124,3,297,9,155,2,299,1,123,3,142,7,162,7,161,28,217,2,146,0,74,0,37,4
"18938_prr",263,13,279,9,246,1,622,6,130,24,181,8,221,15,354,22,220,43,250,3,193,0,112,3
"18940_hypothetical_protein",178,78,541,602,191,34,267,440,101,25,444,168,269,750,109,428,158,4,106,9,160,35,120,538
"18986_ddpC",164,5,172,19,362,18,165,1,311,12,231,15,281,43,300,129,83,3,219,1,255,3,134,36
"18999_betC",23264,27,91770,111,68651,236,87701,48,84425,102,46006,28,12816,396,135516,36,44401,737,44636,10,73906,5,455,24
"19000_ydeO",24,4,51,25,46,0,46,1,48,587,24,55,25,1,15,12,17,29,336,3,23,2,44,1
"19001_safA",0,0,2,0,0,0,2,0,1,33,0,6,4,0,0,0,1,1,25,0,0,0,2,0
"19003_sfaH_2",66,3,90,5,53,3,22,1,46,6,31,4,55,8,32,32,22,13,25,4,34,1,123,0
"19005_sfaG_2",10,4,26,3,17,2,15,5,32,2,27,5,15,32,10,6,15,2,12,0,54,0,7,3
"19007_focC_3",12,38,34,45,53,36,19,41,31,12,35,25,24,108,24,88,31,5,32,3,202,0,20,12
"19008_fimA_9",9,33,14,27,47,32,5,77,30,12,33,19,10,155,14,139,25,2,13,1,248,2,19,38
"19010_hipB",567,44,1268,139,826,36,1229,17,913,290,432,18,400,39,568,405,546,11,1254,6,398,12,510,81
"19023_tam",309,6,1376,47,314,10,1161,4,565,32,414,2,642,5,431,51,716,6,324,2,128,1,118,20
"19024_Bestrophin-_RFP-TM-_chloride_channel",603,155,882,396,1235,35,827,38,341,807,578,136,425,161,134,306,169,11,256,6,1320,53,369,324
"19028_glsA2",1034,160,794,180,863,34,635,22,427,491,552,86,221,144,346,358,221,8,459,1,531,11,388,200
"19030_gltR_2",366,22,568,36,355,29,354,75,270,9,317,39,247,75,559,168,237,1,226,1,436,3,207,83
"19035_marR",946,881,2915,1266,505,326,1703,40,1224,1754,1311,81,970,109,356,817,610,1331,301,18,718,2,1415,274
"19086_yjmD_2",1370,6,2536,11,2045,12,451,3,5849,25,19,0,203,84,205,5,2703,2,574,1,45,3,2200,267
"19098_clcB",310,48,404,77,470,39,375,5,201,74,172,19,297,41,261,141,137,162,172,7,441,21,252,68
"19101_hcaR_3",164,17,460,67,156,10,216,70,203,9,256,20,218,55,328,160,264,1,185,3,175,14,141,29
"19104_Trypsin",468,35,1328,122,296,15,856,473,424,19,523,39,414,92,422,136,711,3,348,1,318,5,278,84
"19114_rstA",497,27,1131,144,691,47,996,572,898,50,669,127,482,160,397,259,588,11,485,5,2281,11,569,225
"19115_rstB",356,20,814,108,566,35,1019,401,628,19,426,62,311,72,462,144,500,7,533,1,1280,6,431,113
"19117_fumC",2772,163,1244,91,742,36,2990,1084,1859,10,1515,63,1883,176,877,78,6655,1,1246,3,1834,7,857,110
"19122_uidB",20389,17,11800,2,3874,2,191,6,8058,16,6819,376,7648,4,5697,295,399,0,6916,5,69,27,8220,314
"19125_hdhA",3397,62,8463,266,2649,28,9645,17,6966,617,4838,59,5652,100,5153,135,2980,232,7911,4,2970,1,3709,9
"19141_dtpA",4053,1717,7454,2438,9643,468,3702,1758,8307,677,9320,1226,4674,2559,5262,6504,5011,96,4878,30,7899,209,5175,2306
"19158_gloA",1731,1167,5358,3867,3955,601,4861,434,4593,4949,4005,883,975,216,4039,2514,4615,7998,3608,146,3371,34,4320,868
"19164_ydhP_2",304,71,431,111,251,20,294,195,231,17,181,27,129,55,208,192,148,2,121,0,271,3,170,87
"19167_allS_5",339,64,1067,286,470,33,537,121,447,41,440,34,732,178,319,264,478,3,320,2,498,19,305,98
"19179_ydhV",296,12,483,21,318,3,499,5,327,24,191,13,245,26,269,58,185,4,240,2,204,5,152,32
"19180_ydhY",61,4,106,9,39,1,75,2,83,8,69,5,18,7,33,27,25,1,18,0,58,0,14,6
"3267_hypothetical_protein",76,13,145,6,486,2,222,59,187,25,194,22,182,12,179,43,333,0,188,2,1085,1,41,8
"3345_hypothetical_protein",471,242,1294,169,1299,91,1010,668,967,66,1059,191,1113,544,814,972,946,16,1034,1,1291,64,789,458
"3357_spoT",4734,2482,11096,1412,5955,360,6217,6429,7201,1071,5223,1360,5602,6320,4831,10361,4596,210,4390,48,6206,494,4313,4056
"33_ompT",16814,916,18527,459,41451,1099,40552,14111,17310,727,18377,5268,15411,1781,37075,19572,8087,190,25508,92,54053,284,6341,3867
"395_ihfB",4776,434,4763,158,7124,77,6026,1422,3016,215,3765,249,3419,488,2859,1569,3831,20,2500,6,2227,98,2119,626
"4205_ispH",1504,427,1970,262,1570,92,1907,2040,1327,175,1935,326,2389,1219,1673,2012,1406,32,1627,16,2498,123,1549,789
"4374_gmhB",1032,351,1305,74,1618,51,1221,908,1226,187,1194,155,1123,416,938,905,1331,13,814,10,878,96,823,380
"4398_hypothetical_protein",375,25,129,12,195,2,792,186,121,7,49,6,100,27,315,229,100,2,93,4,304,7,204,80
"4502_matB",466,37,919,60,477,6,500,35,2134,331,1680,125,772,34,4301,3110,725,13,2228,1,1261,15,155,27
"833_hypothetical_protein",1840,111,748,6,754,6,172,157,365,33,1008,164,976,172,642,347,801,12,809,3,1623,15,357,251
"982_fecA",568,716,1155,223,2041,124,1317,4976,1379,113,1146,172,972,2125,668,977,890,63,645,8,2488,289,639,474
