"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11"
"17202_hypothetical_protein",263,25,639,32,712,7,675,35,255,10,237,9,232,44,314,1,173,1,775,9,185,15
"17208_phnK",14,0,12,1,16,0,14,0,17,1,15,5,24,10,5,6,15,1,8,0,19,0
"17214_phnE",12,1,3,2,7,1,5,2,5,0,3,0,8,2,1,1,4,0,6,0,0,0
"17232_yjdF",405,14,248,16,338,8,810,7,249,71,332,20,244,44,212,48,256,2,280,7,314,48
"17240_hypothetical_protein",14,1,71,1,58,0,8,4,10,0,10,1,6,2,9,2,22,0,7,0,8,0
"17314_yiaO_2",540,22,462,37,789,14,343,4,75,2,36,7,61,70,27,14,61,6,58,1,163,2
"17338_tamB",3741,1140,5365,2493,5386,388,5607,277,6897,3261,5487,1979,7847,6345,5799,98,4699,29,5611,287,4526,2112
"17356_treR",605,66,1082,158,1422,51,1378,12,869,318,749,42,847,65,525,142,883,7,599,2,542,162
"17444_sfaG_1",115,310,302,632,25,0,763,4,1072,539,84,16,481,783,74,4,811,9,544,39,52,612
"17446_sfaH_1",183,368,629,923,137,4,330,120,1871,975,141,19,981,1620,492,13,2154,13,1235,58,190,1259
"17467_putative_transposase",1166,41,2065,107,1264,21,1610,27,1566,74,1449,52,2953,423,1523,7,1504,2,1441,23,1266,89
"17510_rsmC",1089,645,1793,1130,1921,222,882,798,975,307,828,1368,12,77,547,54,608,9,2412,166,828,1039
"17535_bssD_2",230,9,90,9,308,6,52,0,137,39,199,4,190,5,0,0,75,2,92,0,129,13
"17572_small_toxic_polypeptide",944,55,363,2,446,6,321,11,423,9,288,12,881,170,529,4,333,0,110,3,425,51
"17603_ygcS_3",41,6,38,10,103,8,36,23,93,1,70,7,75,21,63,27,88,8,45,3,26,3
"17616_polB",783,267,914,277,1224,193,1202,20,983,377,1424,111,611,439,791,883,738,2,911,42,764,278
"17654_preprotein_translocase_subunit_SecA",7834,4229,8114,5281,11867,1898,11252,9934,10735,1244,10375,2238,14944,5778,8215,9803,9670,189,7901,36,6035,3748
"17764_rnhA",244,65,730,212,749,44,1134,26,635,693,482,112,533,317,378,637,422,10,597,35,391,278
"17884_Invasin",1028,164,769,19,581,226,503,29,501,55,415,70,379,164,506,14,427,8,412,7,369,110
"17894_putative_autotransporter_precursor",2213,165,1418,19,1838,561,2797,105,4401,80,231,27,1533,571,28329,25,6364,4,1046,6,307,46
