"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11"
"15552_xapB",155,15,123,5,96,12,53,3,99,10,95,22,77,20,48,4,71,0,116,1,71,17
"15554_hypothetical_protein",386,24,103,4,220,41,88,3,96,8,98,15,91,25,116,2,83,1,73,4,37,15
"15568_cysA_1",164,2,133,26,157,32,168,2,251,39,157,2,197,13,147,35,170,98,124,1,135,40
"15583_transcriptional_regulator_EutR",178,8,326,22,189,3,262,3,228,24,153,6,172,7,102,15,149,22,216,3,130,3
"1558_dhbE",53,3,41,7,277,9,137,12,69,391,121,12,166,657,91,2,237,4,22,31,204,463
"1559_fyuA",1911,32,2271,114,2117,41,3051,537,866,14869,1162,214,1915,6645,1151,33,3836,145,148,476,13366,20325
"1561_Bacterial_Ig-like_domain_-group_1-",807,31,663,11,633,128,454,16,478,92,427,40,570,174,538,6,580,1,383,18,342,76
"15658_bamB",3596,1886,3805,374,3071,150,3337,423,3458,646,3177,1389,3079,3771,2762,59,2537,13,4445,157,2392,1732
"15667_sseA",2279,72,2461,174,2299,50,2136,52,2744,119,2368,239,1550,488,2689,7,1958,1,2276,35,2064,443
"1568_cbl",111,15,199,18,239,51,93,11,117,7,84,22,90,46,105,3,93,2,181,2,75,35
"15694_yphF",143,5,224,12,225,4,88,8,88,7,65,6,194,11,140,49,92,1,115,0,37,7
"15695_tetratricopeptide_repeat_protein",341,18,387,35,326,15,98,14,129,7,267,21,260,69,108,43,148,10,181,2,181,9
"1569_gltC_1",521,53,774,42,355,36,295,23,440,37,250,122,316,198,282,3,222,4,558,9,262,115
"15702_qseE",914,220,1711,365,1838,39,1407,578,964,65,1198,95,790,284,944,625,1195,10,1823,43,782,256
"15708_yfhL",306,115,687,278,796,89,222,667,320,440,172,168,220,507,163,42,287,9,395,93,170,1107
"15761_putative_autotransporter_precursor",33,2,99,3,48,1,63,0,42,9,29,1,31,3,32,4,33,2,25,0,145,40
"15784_nrdF",4382,29,5930,174,8613,155,9174,104,10754,102,3614,1162,14449,181,6805,21,7948,19,248,55,4450,1295
"15838_srlR_3",5954,110,2238,27,12542,11,7340,236,1168,34,740,62,6640,105,1090,199,1154,6,1858,0,648,20
"15865_cysI",142,25,237,60,136,34,212,62,264,17,247,85,157,143,157,8,140,2,217,11,129,44
"15871_etfA_2",142,12,199,15,83,1,132,2,73,0,124,6,133,26,113,30,50,4,138,0,36,14
"15872_etfB_1",69,7,37,11,42,1,63,1,29,1,138,4,30,5,41,10,31,1,150,3,34,10
"15878_queE",1221,462,2162,1023,2174,170,1773,1782,1961,291,1943,362,1484,1873,2030,59,1423,15,1651,129,1663,1105
"15886_relA",6131,903,4774,852,3986,199,4827,2129,3551,208,4389,389,3613,1060,3421,1634,3767,37,4093,73,3255,938
"15901_ygdG",357,83,370,203,562,78,413,37,269,164,383,53,354,167,314,495,352,10,251,2,378,167
"15919_recD",952,185,1057,425,943,101,599,18,876,479,956,86,1210,113,1064,403,1012,523,1144,14,1059,280
"15926_hypothetical_protein",119,15,94,10,115,1,103,48,84,4,87,8,94,22,58,49,88,7,80,3,106,0
"15927_hypothetical_protein",30,1,22,5,26,0,13,12,25,2,30,2,52,9,50,1,27,1,49,0,25,2
"16005_pucA",864,17,1094,33,478,11,696,4,605,36,353,16,266,30,289,61,268,7,221,7,260,4
"16058_hypothetical_protein",113,4,88,1,69,2,41,1,30,2,52,0,33,6,14,3,47,0,23,0,17,2
"16113_lutA_1",483,35,946,9,389,34,339,4,321,11,433,33,341,67,804,2,339,2,769,0,170,35
"16116_putative_FAD-linked_oxidoreductase",246,9,941,8,348,11,153,0,258,4,274,5,119,36,944,1,98,5,1899,1,78,12
"16119_Putative_ligase",161,20,160,5,160,0,96,40,85,8,60,30,55,41,47,2,53,2,119,3,38,21
"16127_yghQ",58,5,81,4,92,2,67,11,93,5,66,6,62,19,64,20,37,4,73,0,41,12
