"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9"
"13442_Type_VI_secretion_lipoprotein",48,9,179,6,35,3,51,13,112,21,129,3,51,3,39,2,36,7
"13445_hypothetical_protein",73,10,199,5,145,10,34,6,39,12,282,1,43,4,104,0,36,7
"13456_yiaD_3",52,4,30,1,13,1,44,3,62,31,19,0,31,0,11,0,21,4
"13533_pnpB",341,13,346,11,343,269,953,28,250,110,244,2,470,1,250,14,193,27
"13534_Metallo-beta-lactamase_superfamily_protein",242,12,219,5,223,166,494,20,154,52,177,2,255,0,160,5,145,12
"13563_higA_2",227,8,383,4,726,32,1222,109,231,48,233,61,527,7,236,1,493,38
"1383_dinG",2073,735,1729,729,1354,136,1321,194,1319,1050,920,1619,861,23,1306,14,2124,80
"13951_rhmR",71,4,21,0,34,2,28,7,28,4,34,1,31,1,11,1,36,4
"14054_galS",614,19,1214,7,713,50,3171,59,700,80,1592,3,800,2,68,3,206,24
"14423_tap",29,1,80,0,188,11,21,2,16,0,30,0,28,1,21,0,17,3
"14933_Integral_membrane_protein_TerC_family_protein",143,46,336,40,377,5,187,33,358,9,193,99,225,113,230,3,226,2
"15052_fliD_1",7873,114,6077,159,202,678,499,37,1741,106,128,5,249,3,132,4,104,59
"15128_transposase-IS_protein",77,16,84,25,1709,31,0,0,88,52,147,109,134,3,102,3,62,6
"15130_yeeA",627,102,1445,190,1394,55,880,321,1047,40,1054,347,1833,14,720,10,959,133
"15253_VWA_domain_containing_CoxE-like_protein",88,8,37,8,15,4,34,6,79,33,30,2,61,2,75,2,33,18
"1547_intA_1",565,334,526,153,726,203,664,1060,157,460,611,60,441,8,580,132,787,516
"1556_Oxidoreductase_family-_NAD-binding_Rossmann_fold",26,2,23,4,123,3,59,12,42,267,69,14,72,359,19,21,102,261
"1560_hypothetical_protein",74,13,77,9,16,5,21,65,22,4,22,42,27,4,9,5,31,23
"1580_glmU_1",28,1,63,1,57,0,50,6,52,14,49,15,41,2,56,1,45,0
"15816_ascG",988,82,1210,92,1147,8,936,242,319,26,765,166,360,214,376,10,280,78
"15849_nlpD_1",7080,970,8470,1806,9468,3376,7407,270,7781,633,7141,1072,10554,51,6793,8,5939,125
"15880_hypothetical_protein",39,7,17,2,26,0,94,5,49,3,105,41,80,1,22,0,79,44
"15884_mazF",2115,527,2359,35,2247,1118,1410,152,1361,382,3150,1553,1035,8,1777,33,1026,278
"15885_mazE",1242,313,1351,33,1305,758,750,72,622,149,1770,726,942,4,775,25,574,151
"1599_yusV_2",156,5,164,5,0,0,194,12,141,20,121,29,0,0,107,2,84,12
"16006_hypothetical_protein",616,2,506,10,226,0,121,22,135,19,112,44,92,2,213,1,107,1
